i,side,entry_bar,exit_bar,entry,stop0,expected,result,r_net,funding,mae,hold_h,age,fills
0,L,2019-04-13 20:00,2019-04-15 16:00,5036.6941,4988.9880,5036.6941,stop,-0.011272,0.000600,-0.007285,48.0,1,stop@2019-04-15 16:00:4988.9880:1.000
1,L,2019-05-17 08:00,2019-05-17 12:00,7239.9549,6979.0000,7239.9549,stop,-0.037344,0.000100,-0.025408,8.0,1,stop@2019-05-17 12:00:6979.0000:1.000
2,L,2019-05-30 00:00,2019-05-30 20:00,8605.5431,8501.6483,8605.5431,stop,0.014869,0.000300,-0.010710,24.0,2,tp@2019-05-30 12:00:8926.7340:0.250;tp@2019-05-30 16:00:9041.8440:0.250;stop@2019-05-30 20:00:8501.6483:0.500
3,S,2019-06-04 12:00,2019-06-12 12:00,8017.0407,8140.0070,8017.0407,stop,0.019716,0.002450,-0.010348,196.0,1,tp@2019-06-04 16:00:7848.8880:0.250;tp@2019-06-04 16:00:7752.6546:0.250;tp@2019-06-04 16:00:7596.5427:0.250;stop@2019-06-12 12:00:8140.0070:0.250
4,L,2019-06-25 16:00,2019-06-26 04:00,11272.1793,11124.4363,11272.1793,tp,0.084955,0.000200,-0.000548,16.0,1,tp@2019-06-25 20:00:11749.2654:0.250;tp@2019-06-26 00:00:11969.1030:0.250;tp@2019-06-26 04:00:12325.7285:0.250;tp@2019-06-26 04:00:12902.1915:0.250
5,L,2019-06-29 08:00,2019-06-30 12:00,11757.3701,11465.5000,11757.3701,stop,-0.015516,0.000400,-0.021797,32.0,1,tp@2019-06-29 08:00:11969.1030:0.250;stop@2019-06-30 12:00:11465.5000:0.750
6,S,2019-07-02 12:00,2019-07-02 16:00,10446.7302,10732.1000,10446.7302,stop,-0.028617,0.000100,-0.020187,8.0,2,stop@2019-07-02 16:00:10732.1000:1.000
7,S,2019-07-14 04:00,2019-08-02 00:00,11292.4526,11514.2193,11292.4526,dexit,0.122909,0.005700,-0.004762,456.0,1,tp@2019-07-16 20:00:9395.1420:0.250;tp@2019-07-17 08:00:9190.5720:0.250;dexit@2019-08-02 00:00:10375.0000:0.500
8,L,2019-08-09 08:00,2019-08-10 08:00,11701.9814,11515.3500,11701.9814,stop,-0.017499,0.000350,-0.000169,28.0,1,stop@2019-08-10 08:00:11515.3500:1.000
9,S,2019-08-17 08:00,2019-08-19 04:00,10425.5920,10567.6381,10425.5920,stop,0.001343,0.000600,-0.007137,48.0,2,tp@2019-08-17 08:00:10391.8922:0.250;tp@2019-08-17 16:00:10060.8078:0.250;stop@2019-08-19 04:00:10567.6381:0.500
10,S,2019-08-29 12:00,2019-09-01 20:00,9599.7700,9753.1720,9599.7700,stop,-0.010958,0.001050,-0.010024,84.0,1,tp@2019-08-29 12:00:9481.6414:0.250;stop@2019-09-01 20:00:9753.1720:0.750
11,S,2019-10-10 00:00,2019-10-11 04:00,8519.3599,8689.9118,8519.3599,stop,-0.021619,0.000400,-0.014630,32.0,2,stop@2019-10-11 04:00:8689.9118:1.000
12,S,2019-11-24 00:00,2019-11-27 16:00,7300.7628,7400.3848,7300.7628,stop,-0.015995,0.001150,-0.010537,92.0,5,stop@2019-11-27 16:00:7400.3848:1.000
13,L,2019-12-01 16:00,2019-12-02 04:00,7294.8997,7188.3700,7294.8997,stop,-0.016003,0.000200,-0.002695,16.0,1,stop@2019-12-02 04:00:7188.3700:1.000
14,S,2019-12-06 00:00,2019-12-06 16:00,7410.7808,7507.4550,7410.7808,stop,-0.014495,0.000250,-0.004368,20.0,2,stop@2019-12-06 16:00:7507.4550:1.000
15,S,2019-12-15 12:00,2019-12-17 16:00,7139.8924,7221.9009,7139.8924,tp,0.042160,0.000700,-0.001416,56.0,1,tp@2019-12-16 16:00:6967.2820:0.250;tp@2019-12-16 16:00:6905.8120:0.250;tp@2019-12-17 12:00:6806.0940:0.250;tp@2019-12-17 16:00:6644.9060:0.250
16,S,2019-12-21 00:00,2019-12-22 16:00,7175.9454,7255.7020,7175.9454,stop,-0.012864,0.000550,-0.003394,44.0,1,stop@2019-12-22 16:00:7255.7020:1.000
17,L,2020-01-08 12:00,2020-01-08 16:00,8222.0524,8117.5740,8222.0524,stop,-0.014007,0.000100,-0.004628,8.0,1,stop@2020-01-08 16:00:8117.5740:1.000
18,L,2020-01-12 04:00,2020-02-19 20:00,8094.2005,7979.1505,8094.2005,v,0.172917,0.011650,-0.004733,932.0,1,v@2020-02-19 20:00:9593.7900:1.000
19,S,2020-03-01 12:00,2020-03-02 12:00,8718.9245,8816.3700,8718.9245,stop,-0.012726,0.000350,-0.006659,28.0,7,stop@2020-03-02 12:00:8816.3700:1.000
20,S,2020-03-09 20:00,2020-03-10 08:00,7939.9847,8090.5892,7939.9847,stop,-0.020368,0.000200,-0.003764,16.0,2,stop@2020-03-10 08:00:8090.5892:1.000
