i,side,entry_bar,exit_bar,entry,stop0,expected,result,r_net,funding,mae,hold_h,age,fills
21,S,2020-03-11 20:00,2020-03-12 08:00,7961.0291,8062.2243,7961.0291,tp,0.046063,0.000200,-0.002383,16.0,4,tp@2020-03-12 00:00:7826.5520:0.250;tp@2020-03-12 00:00:7719.6320:0.250;tp@2020-03-12 04:00:7546.1840:0.250;tp@2020-03-12 08:00:7265.8160:0.250
22,S,2020-03-15 12:00,2020-03-15 20:00,5530.4055,5716.0970,5530.4055,stop,-0.034926,0.000150,-0.011499,12.0,4,stop@2020-03-15 20:00:5716.0970:1.000
23,L,2020-03-20 16:00,2020-03-20 20:00,6273.6047,6037.3834,6273.6047,stop,-0.038953,0.000100,-0.019106,8.0,2,stop@2020-03-20 20:00:6037.3834:1.000
24,L,2020-03-22 12:00,2020-03-22 20:00,5975.8291,5842.4399,5975.8291,stop,-0.023671,0.000150,-0.018881,12.0,6,stop@2020-03-22 20:00:5842.4399:1.000
25,L,2020-04-09 00:00,2020-04-09 08:00,7266.5745,7178.4000,7266.5745,stop,-0.013484,0.000150,-0.004351,12.0,1,stop@2020-04-09 08:00:7178.4000:1.000
26,S,2020-04-15 04:00,2020-04-16 08:00,6917.5511,6998.9340,6917.5511,stop,0.015688,0.000400,-0.009028,32.0,1,tp@2020-04-15 20:00:6634.9023:0.250;tp@2020-04-16 00:00:6570.1284:0.250;stop@2020-04-16 08:00:6998.9340:0.500
27,L,2020-04-30 08:00,2020-05-10 00:00,8581.1475,8300.2543,8581.1475,stop,-0.036884,0.002950,-0.020993,236.0,2,stop@2020-05-10 00:00:8300.2543:1.000
28,L,2020-05-24 00:00,2020-05-24 12:00,9139.2564,9042.7900,9139.2564,stop,-0.011955,0.000200,-0.004295,16.0,1,stop@2020-05-24 12:00:9042.7900:1.000
29,L,2020-06-04 08:00,2020-06-11 16:00,9459.8727,9337.1144,9459.8727,stop,-0.001346,0.002250,-0.009240,180.0,5,tp@2020-06-10 16:00:9900.2029:0.250;stop@2020-06-11 16:00:9337.1144:0.750
30,S,2020-06-16 16:00,2020-06-22 16:00,9506.8737,9606.0620,9506.8737,stop,-0.013483,0.001850,-0.006114,148.0,1,stop@2020-06-22 16:00:9606.0620:1.000
31,S,2020-06-28 08:00,2020-06-28 12:00,9063.3903,9176.9385,9063.3903,stop,-0.013828,0.000100,-0.002227,8.0,2,stop@2020-06-28 12:00:9176.9385:1.000
32,L,2020-08-03 00:00,2020-08-26 00:00,11047.2113,10898.2070,11047.2113,dexit,0.042483,0.006950,-0.010067,556.0,1,tp@2020-08-17 12:00:12445.5725:0.250;dexit@2020-08-26 00:00:11318.4200:0.750
33,L,2020-09-02 00:00,2020-09-02 04:00,11892.6786,11761.8682,11892.6786,stop,-0.012299,0.000100,-0.005691,8.0,2,stop@2020-09-02 04:00:11761.8682:1.000
34,S,2020-09-06 00:00,2020-09-07 20:00,10193.7993,10378.9136,10193.7993,stop,-0.019960,0.000600,-0.015043,48.0,1,stop@2020-09-07 20:00:10378.9136:1.000
35,L,2020-09-29 04:00,2020-10-01 16:00,10720.0352,10594.1220,10720.0352,stop,-0.013746,0.000800,-0.007851,64.0,1,stop@2020-10-01 16:00:10594.1220:1.000
36,L,2020-10-28 04:00,2020-10-28 08:00,13625.5918,13459.5000,13625.5918,stop,-0.013490,0.000100,-0.008777,8.0,1,stop@2020-10-28 08:00:13459.5000:1.000
37,L,2020-11-08 00:00,2020-12-12 00:00,14804.8818,14516.3200,14804.8818,dexit,0.154866,0.010250,-0.006822,820.0,1,tp@2020-11-08 00:00:14925.0300:0.250;dexit@2020-12-12 00:00:18036.5300:0.750
38,L,2020-12-29 04:00,2021-01-02 16:00,26169.1595,25622.9000,26169.1595,tp,0.171517,0.001400,-0.011050,112.0,6,tp@2021-01-01 00:00:29386.6220:0.250;tp@2021-01-02 12:00:29981.2520:0.250;tp@2021-01-02 12:00:30945.8740:0.250;tp@2021-01-02 16:00:32505.1260:0.250
39,L,2021-01-09 04:00,2021-01-10 12:00,39318.0962,38536.0440,39318.0962,stop,-0.010270,0.000450,-0.015212,36.0,1,tp@2021-01-09 08:00:40277.1420:0.250;stop@2021-01-10 12:00:38536.0440:0.750
40,S,2021-01-12 00:00,2021-01-12 04:00,34853.2855,36469.0800,34853.2855,stop,-0.047660,0.000100,-0.019909,8.0,2,stop@2021-01-12 04:00:36469.0800:1.000
41,S,2021-01-18 04:00,2021-01-18 12:00,36269.1209,36963.0575,36269.1209,stop,-0.020483,0.000150,-0.010501,12.0,1,stop@2021-01-18 12:00:36963.0575:1.000
42,S,2021-01-21 00:00,2021-01-29 08:00,35233.8680,36046.9374,35233.8680,stop,0.023327,0.002550,-0.010391,204.0,2,tp@2021-01-22 00:00:29006.7200:0.250;stop@2021-01-29 08:00:36046.9374:0.750
43,L,2021-02-11 00:00,2021-02-23 04:00,44536.6666,43595.8190,44536.6666,v,0.091558,0.003700,-0.012184,296.0,2,tp@2021-02-11 08:00:46306.9883:0.250;v@2021-02-23 04:00:49640.3300:0.750
44,L,2021-03-22 00:00,2021-03-22 16:00,56568.7223,55702.6193,56568.7223,stop,-0.016761,0.000250,-0.004945,20.0,1,stop@2021-03-22 16:00:55702.6193:1.000
45,L,2021-04-20 00:00,2021-04-20 04:00,55075.5789,54058.9153,55075.5789,stop,-0.019759,0.000100,-0.015225,8.0,2,stop@2021-04-20 04:00:54058.9153:1.000
46,S,2021-04-25 12:00,2021-04-26 00:00,50414.5192,51153.0000,50414.5192,stop,0.012924,0.000200,-0.003043,16.0,1,tp@2021-04-25 20:00:48898.5858:0.250;tp@2021-04-25 20:00:47645.5428:0.250;stop@2021-04-26 00:00:51153.0000:0.500
47,L,2021-05-01 12:00,2021-05-02 04:00,57036.5990,56205.0874,57036.5990,stop,-0.016029,0.000250,-0.012500,20.0,2,stop@2021-05-02 04:00:56205.0874:1.000
48,L,2021-05-03 12:00,2021-05-04 00:00,57276.0340,56355.4250,57276.0340,stop,-0.017473,0.000200,-0.014684,16.0,1,stop@2021-05-04 00:00:56355.4250:1.000
49,S,2021-05-17 20:00,2021-05-19 12:00,44768.7257,45937.4000,44768.7257,tp,0.141089,0.000550,-0.023020,44.0,1,tp@2021-05-19 00:00:41536.8969:0.250;tp@2021-05-19 00:00:40126.1820:0.250;tp@2021-05-19 08:00:37837.6890:0.250;tp@2021-05-19 12:00:34138.4810:0.250
50,S,2021-05-19 20:00,2021-05-20 12:00,38203.4767,41010.6640,38203.4767,stop,-0.053966,0.000250,-0.067465,20.0,1,tp@2021-05-19 20:00:37837.6890:0.250;stop@2021-05-20 12:00:41010.6640:0.750
51,S,2021-05-21 00:00,2021-05-25 00:00,41302.7548,42579.0250,41302.7548,v,0.087883,0.001250,-0.021724,100.0,2,tp@2021-05-21 04:00:40126.1820:0.250;tp@2021-05-21 12:00:37837.6890:0.250;tp@2021-05-21 20:00:34138.4810:0.250;v@2021-05-25 00:00:38304.5100:0.250
52,L,2021-06-03 00:00,2021-06-04 04:00,37439.9620,36947.4342,37439.9620,stop,-0.014755,0.000400,-0.007211,32.0,1,stop@2021-06-04 04:00:36947.4342:1.000
53,L,2021-07-07 20:00,2021-07-08 00:00,33868.8306,33431.4040,33868.8306,stop,-0.014215,0.000100,-0.002689,8.0,5,stop@2021-07-08 00:00:33431.4040:1.000
54,S,2021-07-17 08:00,2021-07-18 00:00,31897.1712,32345.9275,31897.1712,stop,-0.001272,0.000250,-0.001842,20.0,2,tp@2021-07-17 08:00:31607.3501:0.250;tp@2021-07-17 08:00:31317.8399:0.250;stop@2021-07-18 00:00:32345.9275:0.500
55,L,2021-08-22 20:00,2021-08-24 16:00,48468.9514,47905.8500,48468.9514,stop,0.012009,0.000600,-0.005322,48.0,1,tp@2021-08-22 20:00:48927.2900:0.250;tp@2021-08-22 20:00:49410.1400:0.250;tp@2021-08-23 00:00:50193.4300:0.250;stop@2021-08-24 16:00:47905.8500:0.250
56,L,2021-09-03 20:00,2021-09-07 12:00,49816.2572,49107.8033,49816.2572,stop,0.021284,0.001150,-0.008958,92.0,1,tp@2021-09-05 20:00:51120.5000:0.250;tp@2021-09-05 20:00:51503.0000:0.250;tp@2021-09-06 08:00:52123.5000:0.250;stop@2021-09-07 12:00:49107.8033:0.250
57,S,2021-09-22 04:00,2021-09-22 16:00,42296.2138,43425.5470,42296.2138,stop,-0.019938,0.000200,-0.023638,16.0,1,tp@2021-09-22 04:00:42078.3248:0.250;stop@2021-09-22 16:00:43425.5470:0.750
58,L,2021-09-26 00:00,2021-09-26 04:00,42083.8060,41521.3412,42083.8060,stop,-0.014665,0.000100,-0.004272,8.0,3,stop@2021-09-26 04:00:41521.3412:1.000
59,L,2021-10-07 20:00,2021-10-28 00:00,53834.9698,53196.9290,53834.9698,dexit,0.059986,0.006100,-0.004230,488.0,1,tp@2021-10-08 04:00:54465.1356:0.250;dexit@2021-10-28 00:00:58413.4400:0.750
60,L,2021-10-30 04:00,2021-10-31 08:00,61421.5030,60517.5211,61421.5030,stop,-0.016318,0.000400,-0.012186,32.0,2,stop@2021-10-31 08:00:60517.5211:1.000
61,L,2021-11-12 08:00,2021-11-12 16:00,63624.9253,62634.4313,63624.9253,stop,-0.016918,0.000150,-0.011394,12.0,7,stop@2021-11-12 16:00:62634.4313:1.000
62,S,2021-11-19 12:00,2021-11-20 00:00,57630.6819,58660.3948,57630.6819,stop,-0.019267,0.000200,-0.011961,16.0,2,stop@2021-11-20 00:00:58660.3948:1.000
63,S,2021-12-06 12:00,2021-12-06 20:00,48938.4172,49848.1472,48938.4172,stop,-0.019939,0.000150,-0.008737,12.0,1,stop@2021-12-06 20:00:49848.1472:1.000
64,S,2021-12-14 08:00,2021-12-14 20:00,47384.1477,48075.9866,47384.1477,stop,-0.016001,0.000200,-0.012148,16.0,2,stop@2021-12-14 20:00:48075.9866:1.000
65,S,2021-12-18 04:00,2021-12-19 00:00,46856.7201,47582.4203,46856.7201,stop,-0.016988,0.000300,-0.011432,24.0,2,stop@2021-12-19 00:00:47582.4203:1.000
66,S,2022-01-08 00:00,2022-01-11 16:00,42219.8903,43012.1204,42219.8903,stop,-0.013243,0.001150,-0.013425,92.0,2,tp@2022-01-08 00:00:41716.6200:0.250;stop@2022-01-11 16:00:43012.1204:0.750
67,S,2022-01-22 20:00,2022-01-23 20:00,35625.5082,36301.3383,35625.5082,stop,-0.020520,0.000350,-0.014744,28.0,1,stop@2022-01-23 20:00:36301.3383:1.000
68,S,2022-01-25 12:00,2022-01-26 04:00,37061.1487,37662.6500,37061.1487,stop,-0.017680,0.000250,-0.013059,20.0,3,stop@2022-01-26 04:00:37662.6500:1.000
69,L,2022-01-30 12:00,2022-01-31 00:00,37724.0163,37156.6347,37724.0163,stop,-0.016440,0.000200,-0.009871,16.0,4,stop@2022-01-31 00:00:37156.6347:1.000
70,L,2022-02-12 00:00,2022-02-12 04:00,42582.6155,41923.8500,42582.6155,stop,-0.016770,0.000100,-0.009995,8.0,1,stop@2022-02-12 04:00:41923.8500:1.000
71,S,2022-02-25 12:00,2022-02-26 00:00,39322.4252,39962.5290,39322.4252,stop,-0.017678,0.000200,-0.009183,16.0,2,stop@2022-02-26 00:00:39962.5290:1.000
72,S,2022-03-08 00:00,2022-03-09 00:00,38865.9747,39666.2127,38865.9747,stop,-0.022140,0.000350,-0.012765,28.0,1,stop@2022-03-09 00:00:39666.2127:1.000
73,S,2022-03-14 16:00,2022-03-14 20:00,39020.2062,39417.8799,39020.2062,stop,-0.011491,0.000100,-0.000892,8.0,1,stop@2022-03-14 20:00:39417.8799:1.000
74,L,2022-04-13 00:00,2022-04-18 04:00,39643.2006,39143.6058,39643.2006,stop,-0.015402,0.001600,-0.002448,128.0,1,stop@2022-04-18 04:00:39143.6058:1.000
75,S,2022-05-03 08:00,2022-05-04 08:00,38644.1180,39025.2857,38644.1180,stop,-0.011414,0.000350,-0.002928,28.0,1,stop@2022-05-04 08:00:39025.2857:1.000
76,S,2022-05-10 12:00,2022-05-16 00:00,32076.5492,32756.9670,32076.5492,dexit,0.033059,0.001700,-0.009579,136.0,1,tp@2022-05-10 12:00:31303.5988:0.250;tp@2022-05-11 12:00:29814.4812:0.250;dexit@2022-05-16 00:00:31328.8900:0.500
77,S,2022-06-08 00:00,2022-06-12 00:00,30939.7452,31524.1395,30939.7452,tp,0.086721,0.001250,-0.012524,100.0,1,tp@2022-06-11 08:00:28827.3306:0.250;tp@2022-06-11 12:00:28546.8330:0.250;tp@2022-06-12 00:00:28091.8035:0.250;tp@2022-06-12 00:00:27356.2765:0.250
78,S,2022-06-12 12:00,2022-06-21 04:00,28140.5139,28630.5949,28140.5139,v,0.190795,0.002650,-0.007369,212.0,1,tp@2022-06-12 20:00:27356.2765:0.250;v@2022-06-21 04:00:21120.2800:0.750
79,L,2022-07-19 04:00,2022-07-19 16:00,21824.6761,21323.8360,21824.6761,tp,0.036887,0.000200,-0.011232,16.0,1,tp@2022-07-19 04:00:22089.4856:0.250;tp@2022-07-19 12:00:22339.1096:0.250;tp@2022-07-19 12:00:22744.0552:0.250;tp@2022-07-19 16:00:23398.6248:0.250
80,L,2022-07-22 16:00,2022-07-23 08:00,22613.5871,22274.4356,22613.5871,stop,-0.011056,0.000250,-0.005023,20.0,6,tp@2022-07-22 20:00:22744.0552:0.250;stop@2022-07-23 08:00:22274.4356:0.750
81,S,2022-08-23 00:00,2022-08-23 12:00,21346.2510,21613.3561,21346.2510,stop,-0.013913,0.000200,-0.009545,16.0,1,stop@2022-08-23 12:00:21613.3561:1.000
82,S,2022-08-30 00:00,2022-08-30 04:00,20186.8044,20445.4028,20186.8044,stop,-0.014110,0.000100,-0.005545,8.0,2,stop@2022-08-30 04:00:20445.4028:1.000
83,L,2022-09-18 08:00,2022-09-18 16:00,19911.6935,19688.8358,19911.6935,stop,-0.012542,0.000150,-0.009376,12.0,4,stop@2022-09-18 16:00:19688.8358:1.000
84,L,2022-09-28 08:00,2022-10-13 12:00,18708.2489,18415.8662,18708.2489,stop,0.029475,0.004600,-0.007657,368.0,1,tp@2022-10-04 12:00:20223.1829:0.250;tp@2022-10-04 20:00:20387.8847:0.250;stop@2022-10-13 12:00:18415.8662:0.500
85,S,2022-11-22 20:00,2022-11-23 00:00,16117.4281,16363.9450,16117.4281,stop,-0.016595,0.000100,-0.008535,8.0,1,stop@2022-11-23 00:00:16363.9450:1.000
86,L,2023-01-13 12:00,2023-02-11 00:00,18851.5905,18657.9776,18851.5905,dexit,0.137828,0.008600,-0.002126,688.0,1,dexit@2023-02-11 00:00:21625.1900:1.000
87,L,2023-02-16 12:00,2023-02-16 20:00,24464.5077,24205.7443,24464.5077,stop,-0.006793,0.000150,-0.007405,12.0,1,tp@2023-02-16 12:00:24688.6180:0.250;stop@2023-02-16 20:00:24205.7443:0.750
88,L,2023-02-19 08:00,2023-02-19 16:00,24609.0985,24356.7100,24609.0985,stop,-0.008034,0.000150,-0.001976,12.0,1,tp@2023-02-19 08:00:24688.6180:0.250;stop@2023-02-19 16:00:24356.7100:0.750
89,L,2023-03-15 08:00,2023-03-15 16:00,24308.2120,23904.4907,24308.2120,stop,-0.011747,0.000150,-0.002189,12.0,1,tp@2023-03-15 08:00:24489.0058:0.250;stop@2023-03-15 16:00:23904.4907:0.750
90,L,2023-03-18 16:00,2023-04-21 00:00,26696.1592,26185.2080,26696.1592,dexit,0.047217,0.010050,-0.007043,804.0,4,dexit@2023-04-21 00:00:28243.6500:1.000
91,L,2023-04-27 12:00,2023-05-01 04:00,28677.0385,28293.7234,28677.0385,stop,-0.015717,0.001150,-0.010709,92.0,1,stop@2023-05-01 04:00:28293.7234:1.000
92,S,2023-06-15 12:00,2023-06-15 16:00,25035.2495,25282.1396,25035.2495,stop,-0.011162,0.000100,-0.002927,8.0,1,stop@2023-06-15 16:00:25282.1396:1.000
93,L,2023-06-24 12:00,2023-06-30 12:00,30360.8053,29821.3368,30360.8053,stop,-0.020819,0.001850,-0.016535,148.0,4,stop@2023-06-30 12:00:29821.3368:1.000
94,S,2023-08-25 12:00,2023-08-29 12:00,26228.2139,26523.3521,26228.2139,stop,-0.013703,0.001250,-0.003273,100.0,4,stop@2023-08-29 12:00:26523.3521:1.000
95,L,2023-10-21 00:00,2024-01-12 20:00,29476.9273,29140.0668,29476.9273,v,0.425497,0.025200,-0.000412,2016.0,2,v@2024-01-12 20:00:42782.7300:1.000
96,L,2024-03-04 00:00,2024-03-05 16:00,62340.4985,61635.6267,62340.4985,stop,0.026372,0.000550,-0.000650,44.0,1,tp@2024-03-04 12:00:65912.3898:0.250;tp@2024-03-04 16:00:67091.2602:0.250;stop@2024-03-05 16:00:61635.6267:0.500
97,L,2024-03-10 12:00,2024-03-11 00:00,68804.0708,67995.4000,68804.0708,stop,-0.013153,0.000200,-0.010309,16.0,1,stop@2024-03-11 00:00:67995.4000:1.000
98,L,2024-04-08 00:00,2024-04-09 12:00,69405.8234,68643.2207,69405.8234,stop,0.000613,0.000500,-0.005224,40.0,1,tp@2024-04-08 08:00:72280.3234:0.250;stop@2024-04-09 12:00:68643.2207:0.750
99,S,2024-05-04 16:00,2024-05-06 08:00,63966.2352,64733.6200,63966.2352,stop,-0.013747,0.000550,-0.010627,44.0,1,stop@2024-05-06 08:00:64733.6200:1.000
100,L,2024-05-19 04:00,2024-05-19 16:00,66964.1582,66400.2000,66964.1582,stop,-0.005406,0.000200,-0.004288,16.0,1,tp@2024-05-19 08:00:67529.5202:0.250;stop@2024-05-19 16:00:66400.2000:0.750
101,S,2024-07-05 12:00,2024-07-06 16:00,56418.0600,57718.6380,56418.0600,stop,-0.024653,0.000400,-0.018133,32.0,1,stop@2024-07-06 16:00:57718.6380:1.000
102,L,2024-08-29 00:00,2024-08-30 12:00,59024.8103,58267.7408,59024.8103,stop,-0.014526,0.000500,-0.005757,40.0,2,stop@2024-08-30 12:00:58267.7408:1.000
103,L,2024-10-15 16:00,2024-12-05 20:00,66047.3133,65005.3970,66047.3133,v,0.227022,0.015400,-0.011920,1232.0,1,tp@2024-10-15 16:00:66591.4866:0.250;tp@2024-10-16 08:00:67897.0834:0.250;v@2024-12-05 20:00:96945.6300:0.500
104,S,2025-01-02 00:00,2025-01-02 08:00,95241.1600,96538.7500,95241.1600,stop,-0.014974,0.000150,-0.007968,12.0,7,stop@2025-01-02 08:00:96538.7500:1.000
105,L,2025-02-01 00:00,2025-02-01 08:00,103245.5767,101815.6340,103245.5767,stop,-0.015200,0.000150,-0.010916,12.0,1,stop@2025-02-01 08:00:101815.6340:1.000
106,S,2025-02-13 20:00,2025-02-14 16:00,96747.7096,97857.5245,96747.7096,stop,-0.012971,0.000300,-0.008482,24.0,2,stop@2025-02-14 16:00:97857.5245:1.000
107,S,2025-03-01 20:00,2025-03-02 12:00,85775.1284,86817.6740,85775.1284,stop,-0.013604,0.000250,-0.009500,20.0,2,stop@2025-03-02 12:00:86817.6740:1.000
108,S,2025-03-12 08:00,2025-03-12 12:00,82946.6778,84034.6098,82946.6778,stop,-0.014416,0.000100,-0.001569,8.0,1,stop@2025-03-12 12:00:84034.6098:1.000
109,L,2025-04-13 08:00,2025-04-13 16:00,84300.5795,83224.5152,84300.5795,stop,-0.014115,0.000150,-0.009726,12.0,3,stop@2025-04-13 16:00:83224.5152:1.000
110,L,2025-06-10 12:00,2025-06-12 08:00,108643.9122,107313.0023,108643.9122,stop,-0.009398,0.000600,-0.012186,48.0,3,tp@2025-06-10 16:00:109248.0306:0.250;stop@2025-06-12 08:00:107313.0023:0.750
111,L,2025-08-13 00:00,2025-08-13 20:00,119122.6044,117930.1450,119122.6044,tp,0.020202,0.000300,-0.001693,24.0,1,tp@2025-08-13 08:00:120283.6321:0.250;tp@2025-08-13 12:00:120883.1320:0.250;tp@2025-08-13 12:00:121855.6540:0.250;tp@2025-08-13 20:00:123427.6760:0.250
112,S,2025-11-02 20:00,2025-11-04 16:00,110559.9291,111583.7600,110559.9291,tp,0.061714,0.000600,-0.001719,48.0,1,tp@2025-11-03 16:00:105381.8739:0.250;tp@2025-11-04 04:00:104589.8640:0.250;tp@2025-11-04 12:00:103305.0480:0.250;tp@2025-11-04 16:00:101228.2220:0.250
113,S,2025-11-15 00:00,2025-11-25 00:00,96319.1992,97703.3433,96319.1992,dexit,0.055043,0.003050,-0.005476,244.0,1,tp@2025-11-16 12:00:94434.6055:0.250;tp@2025-11-17 16:00:91648.4745:0.250;dexit@2025-11-25 00:00:88300.0100:0.500
114,L,2025-12-03 12:00,2025-12-05 12:00,91965.8329,90717.2593,91965.8329,stop,-0.015426,0.000650,-0.011709,52.0,1,stop@2025-12-05 12:00:90717.2593:1.000
115,L,2026-01-09 08:00,2026-01-13 20:00,90089.7489,89043.0670,90089.7489,tp,0.036484,0.001400,-0.004386,112.0,4,tp@2026-01-13 08:00:92540.5110:0.250;tp@2026-01-13 12:00:92990.8260:0.250;tp@2026-01-13 16:00:93721.3370:0.250;tp@2026-01-13 20:00:94902.1630:0.250
116,S,2026-02-03 04:00,2026-02-05 16:00,78699.4814,79598.0800,78699.4814,tp,0.102326,0.000800,-0.004890,64.0,1,tp@2026-02-03 16:00:73524.6000:0.250;tp@2026-02-04 16:00:72183.6000:0.250;tp@2026-02-05 08:00:70008.2000:0.250;tp@2026-02-05 16:00:66491.8000:0.250
117,S,2026-02-08 08:00,2026-02-08 20:00,70508.5167,71905.1402,70508.5167,stop,-0.014282,0.000200,-0.014841,16.0,5,tp@2026-02-08 08:00:70008.2000:0.250;stop@2026-02-08 20:00:71905.1402:0.750
118,S,2026-02-24 16:00,2026-02-25 00:00,64284.3923,65221.8302,64284.3923,stop,-0.010650,0.000150,-0.007136,12.0,2,tp@2026-02-24 16:00:63914.8011:0.250;stop@2026-02-25 00:00:65221.8302:0.750
119,S,2026-06-26 12:00,2026-07-01 20:00,60220.0168,60942.2700,60220.0168,stop,-0.007285,0.001650,-0.011975,132.0,1,tp@2026-06-28 20:00:59169.6606:0.250;stop@2026-07-01 20:00:60942.2700:0.750
120,L,2026-08-22 04:00,2026-08-23 04:00,77062.1360,76007.0527,77062.1360,stop,-0.015241,0.000350,-0.007295,28.0,2,stop@2026-08-23 04:00:76007.0527:1.000
121,L,2026-08-25 08:00,2026-08-25 12:00,79367.7474,78233.2042,79367.7474,stop,-0.015595,0.000100,-0.006045,8.0,2,stop@2026-08-25 12:00:78233.2042:1.000
