time,bar_t,side,event,detail
2019-12-15 00:00,584,S,ORDER_CREATE,"{""key"": 582, ""level"": -7171.2764, ""stop"": -7271.75, ""atr_idx"": 583, ""atr_end_time"": 1576367999999, ""r_confirm_time"": 1576353599999}"
2019-12-15 00:00,584,S,SIGNAL,"{""key"": 582}"
2019-12-15 03:59,584,S,R_REPLACED,"{""old_key"": 582, ""new_key"": 584}"
2019-12-15 03:59,584,S,ORDER_CANCEL,"{""key"": 582, ""reason"": ""R_REPLACED"", ""level"": -7171.2764}"
2019-12-15 04:00,585,S,ORDER_CREATE,"{""key"": 584, ""level"": -7054.008, ""stop"": -7118.291, ""atr_idx"": 584, ""atr_end_time"": 1576382399999, ""r_confirm_time"": 1576382399999}"
2019-12-15 04:00,585,S,SIGNAL,"{""key"": 584}"
2019-12-15 04:00,585,S,FILL,"{""signal_id"": ""S-2019-12-15 03:59-1"", ""expected"": -7054.008, ""entry"": -7054.008, ""stop"": -7118.291, ""key"": 584}"
2019-12-15 07:09,585,S,EXIT,"{""exit_kind"": ""stop"", ""px"": -7118.291, ""frac"": 1.0, ""signal_id"": ""S-2019-12-15 03:59-1""}"
2019-12-20 00:00,614,S,D_ARM,"{""day"": ""2019-12-19"", ""P0"": -7440.0, ""H1"": -6435.0}"
2019-12-20 00:00,614,S,ORDER_CREATE,"{""key"": 610, ""level"": -7354.6874, ""stop"": -7502.43, ""atr_idx"": 613, ""atr_end_time"": 1576799999999, ""r_confirm_time"": 1576756799999}"
2019-12-20 00:00,614,S,SIGNAL,"{""key"": 610}"
2019-12-20 23:59,619,S,R_REPLACED,"{""old_key"": 610, ""new_key"": 619}"
2019-12-20 23:59,619,S,ORDER_CANCEL,"{""key"": 610, ""reason"": ""R_REPLACED"", ""level"": -7354.6874}"
2019-12-21 00:00,620,S,ORDER_CREATE,"{""key"": 619, ""level"": -7172.5856, ""stop"": -7251.69, ""atr_idx"": 619, ""atr_end_time"": 1576886399999, ""r_confirm_time"": 1576886399999}"
2019-12-21 00:00,620,S,SIGNAL,"{""key"": 619}"
2019-12-21 00:00,620,S,FILL,"{""signal_id"": ""S-2019-12-20 23:59-2"", ""expected"": -7172.5856, ""entry"": -7172.5856, ""stop"": -7251.69, ""key"": 619}"
2019-12-21 11:59,622,S,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""S-2019-12-20 23:59-2""}"
2019-12-22 03:59,626,S,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""S-2019-12-20 23:59-2""}"
2019-12-22 11:59,628,S,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""S-2019-12-20 23:59-2""}"
2019-12-22 16:09,630,S,EXIT,"{""exit_kind"": ""stop"", ""px"": -7251.69, ""frac"": 1.0, ""signal_id"": ""S-2019-12-20 23:59-2""}"
