signal_id,symbol,side,D_arm_time,R_confirm_time,order_create_time,expected_entry,actual_entry,actual_entry_time,ENTRY_R_LOW,ENTRY_R_HIGH,ENTRY_R_SIZE,structural_stop,stop_time,partial_exit_times,final_exit_time,exit_reason,r_net,pm_margin_pct,fee,funding,funding_events,mae,mfe,hold_h,age_bars,atr_idx,atr_end_time,decision_time,fills,event_sequence
S-2020-03-30 03:59-11,BTCUSDT,SHORT,2020-03-30 00:00,2020-03-30 03:59,2020-03-30 04:00,6070.86,6070.86,2020-03-30 05:00,6163.00,5850.00,313.00,6181.49,2020-03-30 05:04,,2020-03-30 05:04,stop,-0.019422,-19.422,0.000700,0.000000,,-0.01822,0.00000,0.08,1,1220,2020-03-30 03:59,2020-03-30 05:00,stop@2020-03-30 05:04:6181.49:1.000,2020-03-30 05:00|FILL|6070.86|1.000;2020-03-30 05:04|EXIT_STOP|6181.49|1.000
S-2020-04-01 11:59-12,BTCUSDT,SHORT,2020-04-01 00:00,2020-04-01 11:59,2020-04-01 12:00,6364.16,6364.16,2020-04-01 20:45,6422.82,6255.40,167.42,6442.09,2020-04-01 22:24,,2020-04-01 22:24,stop,-0.013445,-13.445,0.000700,0.000000,,-0.01225,0.00959,1.67,3,1236,2020-04-01 19:59,2020-04-01 20:45,stop@2020-04-01 22:24:6442.09:1.000,2020-04-01 20:45|FILL|6364.16|1.000;2020-04-01 22:24|EXIT_STOP|6442.09|1.000
L-2020-04-07 11:59-13,BTCUSDT,LONG,2020-04-07 00:00,2020-04-07 11:59,2020-04-07 12:00,7294.65,7294.65,2020-04-07 12:30,7221.50,7439.00,217.50,7199.84,2020-04-07 20:04,,2020-04-07 20:04,stop,-0.014209,-14.209,0.000700,0.000011,2020-04-07 16:00:+0.000011,-0.01300,0.01436,7.58,1,1270,2020-04-07 11:59,2020-04-07 12:30,stop@2020-04-07 20:04:7199.84:1.000,2020-04-07 12:30|FILL|7294.65|1.000;2020-04-07 20:04|EXIT_STOP|7199.84|1.000
L-2020-04-08 23:59-14,BTCUSDT,LONG,2020-04-09 00:00,2020-04-08 23:59,2020-04-09 00:00,7260.44,7260.44,2020-04-09 03:30,7192.00,7390.00,198.00,7170.42,2020-04-09 11:59,,2020-04-09 11:59,stop,-0.013499,-13.499,0.000700,-0.000100,2020-04-09 08:00:-0.000100,-0.01240,0.01165,8.50,1,1279,2020-04-08 23:59,2020-04-09 03:30,stop@2020-04-09 11:59:7170.42:1.000,2020-04-09 03:30|FILL|7260.44|1.000;2020-04-09 11:59|EXIT_STOP|7170.42|1.000
S-2020-04-14 11:59-15,BTCUSDT,SHORT,2020-04-14 00:00,2020-04-14 11:59,2020-04-14 12:00,6856.85,6856.85,2020-04-14 13:05,6916.55,6751.00,165.55,6937.30,2020-04-14 14:09,,2020-04-14 14:09,stop,-0.012933,-12.933,0.000700,0.000000,,-0.01173,0.00160,1.08,1,1312,2020-04-14 11:59,2020-04-14 13:05,stop@2020-04-14 14:09:6937.30:1.000,2020-04-14 13:05|FILL|6856.85|1.000;2020-04-14 14:09|EXIT_STOP|6937.30|1.000
S-2020-04-17 03:59-16,BTCUSDT,SHORT,2020-04-18 00:00,2020-04-17 03:59,2020-04-18 00:00,7115.06,7115.06,2020-04-18 05:25,7190.92,6960.21,230.71,7212.49,2020-04-18 13:49,,2020-04-18 13:49,stop,-0.015065,-15.065,0.000700,0.000171,2020-04-18 08:00:+0.000171,-0.01369,0.00914,8.42,7,1334,2020-04-18 03:59,2020-04-18 05:25,stop@2020-04-18 13:49:7212.49:1.000,2020-04-18 05:25|FILL|7115.06|1.000;2020-04-18 13:49|EXIT_STOP|7212.49|1.000
L-2020-04-26 03:59-17,BTCUSDT,LONG,2020-04-26 00:00,2020-04-26 03:59,2020-04-26 04:00,7516.91,7516.91,2020-04-26 15:10,7468.30,7579.00,110.70,7445.90,,2020-04-26 23:29;2020-04-26 23:29;2020-04-29 02:09,2020-05-10 00:20,v,0.050244,50.244,0.000475,0.002207,2020-04-26 16:00:+0.000100;2020-04-27 00:00:+0.000038;2020-04-27 08:00:+0.000038;2020-04-27 16:00:+0.000038;2020-04-28 00:00:+0.000038;2020-04-28 08:00:+0.000038;2020-04-28 16:00:+0.000038;2020-04-29 00:00:+0.000038;2020-04-29 08:00:+0.000025;2020-04-29 16:00:+0.000025;2020-04-30 00:00:+0.000033;2020-04-30 08:00:+0.000244;2020-04-30 16:00:+0.000025;2020-05-01 00:00:+0.000053;2020-05-01 08:00:+0.000045;2020-05-01 16:00:+0.000034;2020-05-02 00:00:+0.000025;2020-05-02 08:00:+0.000025;2020-05-02 16:00:+0.000025;2020-05-03 00:00:+0.000025;2020-05-03 08:00:+0.000050;2020-05-03 16:00:+0.000038;2020-05-04 00:00:+0.000030;2020-05-04 08:00:+0.000025;2020-05-04 16:00:+0.000025;2020-05-05 00:00:+0.000025;2020-05-05 08:00:+0.000025;2020-05-05 16:00:+0.000025;2020-05-06 00:00:+0.000025;2020-05-06 08:00:+0.000025;2020-05-06 16:00:+0.000090;2020-05-07 00:00:+0.000025;2020-05-07 08:00:+0.000025;2020-05-07 16:00:+0.000025;2020-05-08 00:00:+0.000040;2020-05-08 08:00:+0.000085;2020-05-08 16:00:+0.000133;2020-05-09 00:00:+0.000105;2020-05-09 08:00:+0.000190;2020-05-09 16:00:+0.000145;2020-05-10 00:00:+0.000106,-0.00533,0.34098,321.17,3,1384,2020-04-26 11:59,2020-04-26 15:10,tp@2020-04-26 23:29:7658.94:0.500;tp@2020-04-26 23:29:7608.16:0.125;tp@2020-04-29 02:09:7802.81:0.125;v@2020-05-10 00:20:8635.63:0.250,2020-04-26 15:10|FILL|7516.91|1.000;2020-04-26 23:29|EXIT_TP|7658.94|0.500;2020-04-26 23:29|EXIT_TP|7608.16|0.125;2020-04-29 02:09|EXIT_TP|7802.81|0.125;2020-05-10 00:19|V_DETECT|9021.00|0.000;2020-05-10 00:20|EXIT_V|8635.63|0.250
L-2020-05-23 23:59-18,BTCUSDT,LONG,2020-05-23 00:00,2020-05-23 23:59,2020-05-24 00:00,9144.00,9144.00,2020-05-24 00:05,9076.90,9245.33,168.43,9049.67,2020-05-24 13:54,,2020-05-24 13:54,stop,-0.011595,-11.595,0.000700,0.000079,2020-05-24 08:00:+0.000079,-0.01032,0.01645,13.83,1,1549,2020-05-23 23:59,2020-05-24 00:05,stop@2020-05-24 13:54:9049.67:1.000,2020-05-24 00:05|FILL|9144.00|1.000;2020-05-24 13:54|EXIT_STOP|9049.67|1.000
L-2020-06-03 15:59-19,BTCUSDT,LONG,2020-06-04 00:00,2020-06-03 15:59,2020-06-04 00:00,9472.42,9472.42,2020-06-04 11:30,9382.33,9644.00,261.67,9354.18,2020-06-07 12:29,2020-06-04 13:24,2020-06-07 12:29,stop,0.012232,12.232,0.000550,0.000450,2020-06-04 16:00:+0.000050;2020-06-05 00:00:+0.000050;2020-06-05 08:00:+0.000050;2020-06-05 16:00:+0.000050;2020-06-06 00:00:+0.000050;2020-06-06 08:00:+0.000050;2020-06-06 16:00:+0.000050;2020-06-07 00:00:+0.000050;2020-06-07 08:00:+0.000050,-0.00342,0.04345,73.00,5,1617,2020-06-04 07:59,2020-06-04 11:30,tp@2020-06-04 13:24:9708.88:0.500;stop@2020-06-07 12:29:9491.36:0.500,2020-06-04 11:30|FILL|9472.42|1.000;2020-06-04 13:24|EXIT_TP|9708.88|0.500;2020-06-07 12:29|EXIT_STOP|9491.36|0.500
S-2020-06-16 07:59-20,BTCUSDT,SHORT,2020-06-16 00:00,2020-06-16 07:59,2020-06-16 08:00,9513.27,9513.27,2020-06-16 09:05,9595.00,9370.00,225.00,9623.78,2020-06-22 12:49,2020-06-17 19:59,2020-06-22 12:49,stop,0.012193,12.193,0.000550,-0.000377,2020-06-16 16:00:-0.000100;2020-06-17 00:00:-0.000078;2020-06-17 08:00:+0.000083;2020-06-17 16:00:-0.000075;2020-06-18 00:00:+0.000050;2020-06-18 08:00:+0.000058;2020-06-18 16:00:-0.000038;2020-06-19 00:00:+0.000001;2020-06-19 08:00:-0.000010;2020-06-19 16:00:-0.000050;2020-06-20 00:00:-0.000050;2020-06-20 08:00:-0.000006;2020-06-20 16:00:-0.000050;2020-06-21 00:00:+0.000015;2020-06-21 08:00:+0.000006;2020-06-21 16:00:-0.000050;2020-06-22 00:00:-0.000050;2020-06-22 08:00:-0.000034,-0.00785,0.03661,147.75,1,1689,2020-06-16 07:59,2020-06-16 09:05,tp@2020-06-17 19:59:9292.25:0.500;stop@2020-06-22 12:49:9494.25:0.500,2020-06-16 09:05|FILL|9513.27|1.000;2020-06-17 19:59|EXIT_TP|9292.25|0.500;2020-06-22 12:49|EXIT_STOP|9494.25|0.500
S-2020-06-28 03:59-21,BTCUSDT,SHORT,2020-06-28 00:00,2020-06-28 03:59,2020-06-28 04:00,9058.86,9058.86,2020-06-28 08:45,9147.00,8889.03,257.97,9174.44,2020-06-28 16:14,,2020-06-28 16:14,stop,-0.013910,-13.910,0.000700,-0.000049,2020-06-28 16:00:-0.000049,-0.01276,0.00482,7.50,2,1761,2020-06-28 07:59,2020-06-28 08:45,stop@2020-06-28 16:14:9174.44:1.000,2020-06-28 08:45|FILL|9058.86|1.000;2020-06-28 16:14|EXIT_STOP|9174.44|1.000
L-2020-08-02 23:59-22,BTCUSDT,LONG,2020-08-03 00:00,2020-08-02 23:59,2020-08-03 00:00,11038.72,11038.72,2020-08-03 00:00,10915.42,11297.98,382.56,10882.67,2020-08-04 13:19,2020-08-03 14:34,2020-08-04 13:19,stop,0.013350,13.350,0.000550,0.000987,2020-08-03 08:00:+0.000459;2020-08-03 16:00:+0.000219;2020-08-04 00:00:+0.000156;2020-08-04 08:00:+0.000153,-0.01048,0.04025,37.33,1,1975,2020-08-02 23:59,2020-08-03 00:00,tp@2020-08-03 14:34:11350.82:0.500;stop@2020-08-04 13:19:11060.80:0.500,2020-08-03 00:00|FILL|11038.72|1.000;2020-08-03 14:34|EXIT_TP|11350.82|0.500;2020-08-04 13:19|EXIT_STOP|11060.80|0.500
L-2020-09-01 19:59-23,BTCUSDT,LONG,2020-09-02 00:00,2020-09-01 19:59,2020-09-02 00:00,11906.39,11906.39,2020-09-02 00:30,11812.00,12061.07,249.07,11776.56,2020-09-02 06:39,,2020-09-02 06:39,stop,-0.012104,-12.104,0.000700,0.000000,,-0.01090,0.00329,6.17,2,2155,2020-09-01 23:59,2020-09-02 00:30,stop@2020-09-02 06:39:11776.56:1.000,2020-09-02 00:30|FILL|11906.39|1.000;2020-09-02 06:39|EXIT_STOP|11776.56|1.000
S-2020-09-06 03:59-24,BTCUSDT,SHORT,2020-09-06 00:00,2020-09-06 03:59,2020-09-06 04:00,10173.64,10173.64,2020-09-06 04:00,10302.19,9887.20,414.99,10333.10,2020-09-06 21:44,,2020-09-06 21:44,stop,-0.016674,-16.674,0.000700,-0.000200,2020-09-06 08:00:-0.000100;2020-09-06 16:00:-0.000100,-0.01567,0.01677,17.75,1,2180,2020-09-06 03:59,2020-09-06 04:00,stop@2020-09-06 21:44:10333.10:1.000,2020-09-06 04:00|FILL|10173.64|1.000;2020-09-06 21:44|EXIT_STOP|10333.10|1.000
L-2020-09-29 03:59-25,BTCUSDT,LONG,2020-09-29 00:00,2020-09-29 03:59,2020-09-29 04:00,10720.72,10720.72,2020-09-29 04:00,10627.19,10887.65,260.46,10595.31,2020-10-01 16:19,,2020-10-01 16:19,stop,-0.013673,-13.673,0.000700,0.000774,2020-09-29 08:00:+0.000100;2020-09-29 16:00:+0.000100;2020-09-30 00:00:+0.000100;2020-09-30 08:00:+0.000100;2020-09-30 16:00:+0.000100;2020-10-01 00:00:+0.000074;2020-10-01 08:00:+0.000100;2020-10-01 16:00:+0.000100,-0.01170,0.02000,60.33,1,2318,2020-09-29 03:59,2020-09-29 04:00,stop@2020-10-01 16:19:10595.31:1.000,2020-09-29 04:00|FILL|10720.72|1.000;2020-10-01 16:19|EXIT_STOP|10595.31|1.000
L-2020-10-28 03:59-26,BTCUSDT,LONG,2020-10-27 00:00,2020-10-28 03:59,2020-10-28 04:00,13636.19,13636.19,2020-10-28 07:10,13512.74,13863.00,350.26,13472.20,2020-10-28 11:09,,2020-10-28 11:09,stop,-0.013326,-13.326,0.000700,0.000100,2020-10-28 08:00:+0.000100,-0.01203,0.00473,4.00,1,2492,2020-10-28 03:59,2020-10-28 07:10,stop@2020-10-28 11:09:13472.20:1.000,2020-10-28 07:10|FILL|13636.19|1.000;2020-10-28 11:09|EXIT_STOP|13472.20|1.000
L-2020-11-07 23:59-27,BTCUSDT,LONG,2020-11-08 00:00,2020-11-07 23:59,2020-11-08 00:00,14803.79,14803.79,2020-11-08 00:00,14555.00,15421.58,866.58,14511.33,2020-11-09 16:14,2020-11-08 15:04;2020-11-08 15:04,2020-11-09 16:14,stop,0.020579,20.579,0.000513,0.000250,2020-11-08 08:00:+0.000100;2020-11-08 16:00:+0.000038;2020-11-09 00:00:+0.000038;2020-11-09 08:00:+0.000038;2020-11-09 16:00:+0.000038,-0.00634,0.07196,40.25,1,2557,2020-11-07 23:59,2020-11-08 00:00,tp@2020-11-08 15:04:15388.70:0.500;tp@2020-11-08 15:04:14925.03:0.125;stop@2020-11-09 16:14:14833.40:0.375,2020-11-08 00:00|FILL|14803.79|1.000;2020-11-08 15:04|EXIT_TP|15388.70|0.500;2020-11-08 15:04|EXIT_TP|14925.03|0.125;2020-11-09 16:14|EXIT_STOP|14833.40|0.375
L-2020-12-04 07:59-28,BTCUSDT,LONG,2020-12-03 00:00,2020-12-04 07:59,2020-12-04 08:00,19272.27,19272.27,2020-12-04 10:05,19115.00,19537.16,422.16,19057.65,2020-12-04 10:14,,2020-12-04 10:14,stop,-0.012336,-12.336,0.000700,0.000000,,-0.01114,0.00432,0.17,1,2715,2020-12-04 07:59,2020-12-04 10:05,stop@2020-12-04 10:14:19057.65:1.000,2020-12-04 10:05|FILL|19272.27|1.000;2020-12-04 10:14|EXIT_STOP|19057.65|1.000
L-2020-12-28 07:59-29,BTCUSDT,LONG,2020-12-29 00:00,2020-12-28 07:59,2020-12-29 00:00,26292.08,26292.08,2020-12-29 04:05,25850.00,27390.00,1540.00,25772.45,,2020-12-29 23:39;2021-01-01 01:14;2021-01-02 12:19;2021-01-02 12:49,2021-01-02 16:34,tp,0.100097,100.097,0.000400,0.003183,2020-12-29 08:00:+0.000489;2020-12-29 16:00:+0.000399;2020-12-30 00:00:+0.000245;2020-12-30 08:00:+0.000384;2020-12-30 16:00:+0.000314;2020-12-31 00:00:+0.000266;2020-12-31 08:00:+0.000302;2020-12-31 16:00:+0.000184;2021-01-01 00:00:+0.000114;2021-01-01 08:00:+0.000099;2021-01-01 16:00:+0.000129;2021-01-02 00:00:+0.000038;2021-01-02 08:00:+0.000076;2021-01-02 16:00:+0.000144,-0.01442,0.23631,108.50,6,2864,2020-12-29 03:59,2020-12-29 04:05,tp@2020-12-29 23:39:27331.34:0.500;tp@2021-01-01 01:14:29386.62:0.125;tp@2021-01-02 12:19:29981.25:0.125;tp@2021-01-02 12:49:30945.87:0.125;tp@2021-01-02 16:34:32505.13:0.125,2020-12-29 04:05|FILL|26292.08|1.000;2020-12-29 23:39|EXIT_TP|27331.34|0.500;2021-01-01 01:14|EXIT_TP|29386.62|0.125;2021-01-02 12:19|EXIT_TP|29981.25|0.125;2021-01-02 12:49|EXIT_TP|30945.87|0.125;2021-01-02 16:34|EXIT_TP|32505.13|0.125
L-2021-01-03 15:59-30,BTCUSDT,LONG,2020-12-31 00:00,2021-01-03 15:59,2021-01-03 16:00,33107.20,33107.20,2021-01-03 16:45,32472.00,34743.92,2271.92,32374.58,2021-01-04 07:24,,2021-01-04 07:24,stop,-0.024970,-24.970,0.000700,0.001641,2021-01-04 00:00:+0.001641,-0.02213,0.02540,14.67,1,2897,2021-01-03 15:59,2021-01-03 16:45,stop@2021-01-04 07:24:32374.58:1.000,2021-01-03 16:45|FILL|33107.20|1.000;2021-01-04 07:24|EXIT_STOP|32374.58|1.000
L-2021-01-09 03:59-31,BTCUSDT,LONG,2021-01-09 00:00,2021-01-09 03:59,2021-01-09 04:00,39336.92,39336.92,2021-01-09 05:55,38655.00,41045.93,2390.93,38539.04,2021-01-10 11:24,2021-01-09 11:24;2021-01-09 11:24,2021-01-10 11:24,stop,0.021102,21.102,0.000513,0.002219,2021-01-09 08:00:+0.000669;2021-01-09 16:00:+0.000551;2021-01-10 00:00:+0.000546;2021-01-10 08:00:+0.000452,-0.01535,0.05600,29.50,1,2930,2021-01-09 03:59,2021-01-09 05:55,tp@2021-01-09 11:24:40932.68:0.500;tp@2021-01-09 11:24:40277.14:0.125;stop@2021-01-10 11:24:39415.59:0.375,2021-01-09 05:55|FILL|39336.92|1.000;2021-01-09 11:24|EXIT_TP|40932.68|0.500;2021-01-09 11:24|EXIT_TP|40277.14|0.125;2021-01-10 11:24|EXIT_STOP|39415.59|0.375
