signal_id,symbol,side,D_arm_time,R_confirm_time,order_create_time,expected_entry,actual_entry,actual_entry_time,ENTRY_R_LOW,ENTRY_R_HIGH,ENTRY_R_SIZE,structural_stop,stop_time,partial_exit_times,final_exit_time,exit_reason,r_net,pm_margin_pct,fee,funding,funding_events,mae,mfe,hold_h,age_bars,atr_idx,atr_end_time,decision_time,fills,event_sequence
S-2019-12-15 03:59-1,BTCUSDT,SHORT,2019-12-15 00:00,2019-12-15 03:59,2019-12-15 04:00,7054.01,7054.01,2019-12-15 04:00,7097.00,7004.77,92.23,7118.29,2019-12-15 07:09,,2019-12-15 07:09,stop,-0.010313,-10.313,0.000700,0.000000,,-0.00911,0.00298,3.17,1,584,2019-12-15 03:59,2019-12-15 04:00,stop@2019-12-15 07:09:7118.29:1.000,2019-12-15 04:00|FILL|7054.01|1.000;2019-12-15 07:09|EXIT_STOP|7118.29|1.000
S-2019-12-20 23:59-2,BTCUSDT,SHORT,2019-12-20 00:00,2019-12-20 23:59,2019-12-21 00:00,7172.59,7172.59,2019-12-21 00:00,7230.00,7078.17,151.83,7251.69,2019-12-22 16:09,,2019-12-22 16:09,stop,-0.011813,-11.813,0.000700,-0.000416,2019-12-21 08:00:-0.000100;2019-12-21 16:00:-0.000100;2019-12-22 00:00:-0.000100;2019-12-22 08:00:-0.000100;2019-12-22 16:00:-0.000016,-0.01103,0.00900,40.17,1,619,2019-12-20 23:59,2019-12-21 00:00,stop@2019-12-22 16:09:7251.69:1.000,2019-12-21 00:00|FILL|7172.59|1.000;2019-12-22 16:09|EXIT_STOP|7251.69|1.000
L-2020-01-07 15:59-3,BTCUSDT,LONG,2020-01-07 00:00,2020-01-07 15:59,2020-01-07 16:00,7883.47,7883.47,2020-01-07 16:00,7826.18,7969.00,142.82,7802.70,2020-01-07 16:04,,2020-01-07 16:04,stop,-0.011445,-11.445,0.000700,0.000000,,-0.01024,0.00000,0.08,1,725,2020-01-07 15:59,2020-01-07 16:00,stop@2020-01-07 16:04:7802.70:1.000,2020-01-07 16:00|FILL|7883.47|1.000;2020-01-07 16:04|EXIT_STOP|7802.70|1.000
L-2020-01-12 03:59-4,BTCUSDT,LONG,2020-01-12 00:00,2020-01-12 03:59,2020-01-12 04:00,8096.13,8096.13,2020-01-12 04:00,8003.87,8292.19,288.32,7979.86,,2020-01-14 01:04,2020-02-19 21:50,v,0.070819,70.819,0.000550,0.026950,2020-01-12 08:00:+0.000100;2020-01-12 16:00:+0.000100;2020-01-13 00:00:+0.000100;2020-01-13 08:00:+0.000100;2020-01-13 16:00:+0.000100;2020-01-14 00:00:+0.000100;2020-01-14 08:00:+0.000130;2020-01-14 16:00:+0.000050;2020-01-15 00:00:+0.000247;2020-01-15 08:00:+0.000097;2020-01-15 16:00:+0.000050;2020-01-16 00:00:+0.000050;2020-01-16 08:00:+0.000206;2020-01-16 16:00:+0.000157;2020-01-17 00:00:+0.000050;2020-01-17 08:00:+0.000075;2020-01-17 16:00:+0.000284;2020-01-18 00:00:+0.000050;2020-01-18 08:00:+0.000146;2020-01-18 16:00:+0.000160;2020-01-19 00:00:+0.000100;2020-01-19 08:00:+0.000197;2020-01-19 16:00:+0.000462;2020-01-20 00:00:+0.000149;2020-01-20 08:00:+0.000050;2020-01-20 16:00:+0.000054;2020-01-21 00:00:+0.000060;2020-01-21 08:00:+0.000077;2020-01-21 16:00:+0.000079;2020-01-22 00:00:+0.000050;2020-01-22 08:00:+0.000107;2020-01-22 16:00:+0.000050;2020-01-23 00:00:+0.000050;2020-01-23 08:00:+0.000050;2020-01-23 16:00:+0.000262;2020-01-24 00:00:+0.000274;2020-01-24 08:00:+0.000211;2020-01-24 16:00:+0.000090;2020-01-25 00:00:+0.000050;2020-01-25 08:00:+0.000050;2020-01-25 16:00:+0.000050;2020-01-26 00:00:+0.000050;2020-01-26 08:00:+0.000050;2020-01-26 16:00:+0.000050;2020-01-27 00:00:+0.000050;2020-01-27 08:00:+0.000050;2020-01-27 16:00:+0.000050;2020-01-28 00:00:+0.000050;2020-01-28 08:00:+0.000343;2020-01-28 16:00:+0.000272;2020-01-29 00:00:+0.000312;2020-01-29 08:00:+0.000541;2020-01-29 16:00:+0.000268;2020-01-30 00:00:+0.000118;2020-01-30 08:00:+0.000124;2020-01-30 16:00:+0.000174;2020-01-31 00:00:+0.000268;2020-01-31 08:00:+0.000386;2020-01-31 16:00:+0.000199;2020-02-01 00:00:+0.000375;2020-02-01 08:00:+0.000328;2020-02-01 16:00:+0.000245;2020-02-02 00:00:+0.000141;2020-02-02 08:00:+0.000175;2020-02-02 16:00:+0.000328;2020-02-03 00:00:+0.000303;2020-02-03 08:00:+0.000179;2020-02-03 16:00:+0.000050;2020-02-04 00:00:+0.000496;2020-02-04 08:00:+0.000272;2020-02-04 16:00:+0.000191;2020-02-05 00:00:+0.000050;2020-02-05 08:00:+0.000050;2020-02-05 16:00:+0.000263;2020-02-06 00:00:+0.000820;2020-02-06 08:00:+0.000391;2020-02-06 16:00:+0.000278;2020-02-07 00:00:+0.000178;2020-02-07 08:00:+0.000099;2020-02-07 16:00:+0.000173;2020-02-08 00:00:+0.000200;2020-02-08 08:00:+0.000314;2020-02-08 16:00:+0.000497;2020-02-09 00:00:+0.000214;2020-02-09 08:00:+0.000408;2020-02-09 16:00:+0.000570;2020-02-10 00:00:+0.000534;2020-02-10 08:00:+0.000625;2020-02-10 16:00:+0.000490;2020-02-11 00:00:+0.000220;2020-02-11 08:00:+0.000324;2020-02-11 16:00:+0.000251;2020-02-12 00:00:+0.001500;2020-02-12 08:00:+0.000540;2020-02-12 16:00:+0.000519;2020-02-13 00:00:+0.000468;2020-02-13 08:00:+0.000422;2020-02-13 16:00:+0.000352;2020-02-14 00:00:+0.000317;2020-02-14 08:00:+0.000372;2020-02-14 16:00:+0.000280;2020-02-15 00:00:+0.000296;2020-02-15 08:00:+0.000484;2020-02-15 16:00:+0.000437;2020-02-16 00:00:+0.000256;2020-02-16 08:00:+0.000185;2020-02-16 16:00:+0.000304;2020-02-17 00:00:+0.000216;2020-02-17 08:00:+0.000305;2020-02-17 16:00:+0.000455;2020-02-18 00:00:+0.000135;2020-02-18 08:00:+0.000070;2020-02-18 16:00:+0.000148;2020-02-19 00:00:+0.000232;2020-02-19 08:00:+0.000192;2020-02-19 16:00:+0.000204,-0.00523,0.30186,929.83,1,752,2020-01-12 03:59,2020-01-12 04:00,tp@2020-01-14 01:04:8328.67:0.500;v@2020-02-19 21:50:9455.59:0.500,2020-01-12 04:00|FILL|8096.13|1.000;2020-01-14 01:04|EXIT_TP|8328.67|0.500;2020-02-19 21:49|V_DETECT|9452.67|0.000;2020-02-19 21:50|EXIT_V|9455.59|0.500
S-2020-02-29 11:59-5,BTCUSDT,SHORT,2020-02-29 00:00,2020-02-29 11:59,2020-02-29 12:00,8729.47,8729.47,2020-03-01 12:00,8799.83,8613.00,186.83,8826.23,2020-03-02 09:44,2020-03-01 16:34,2020-03-02 09:44,stop,0.011738,11.738,0.000550,-0.000454,2020-03-01 16:00:-0.000310;2020-03-02 00:00:-0.000094;2020-03-02 08:00:-0.000050,-0.00375,0.03671,21.75,7,1048,2020-03-01 11:59,2020-03-01 12:00,tp@2020-03-01 16:34:8535.95:0.500;stop@2020-03-02 09:44:8712.01:0.500,2020-03-01 12:00|FILL|8729.47|1.000;2020-03-01 16:34|EXIT_TP|8535.95|0.500;2020-03-02 09:44|EXIT_STOP|8712.01|0.500
S-2020-03-11 07:59-6,BTCUSDT,SHORT,2020-03-11 00:00,2020-03-11 07:59,2020-03-11 08:00,7964.54,7964.54,2020-03-11 22:35,8041.41,7817.25,224.16,8065.53,,2020-03-12 01:54;2020-03-12 01:54;2020-03-12 01:59;2020-03-12 06:29,2020-03-12 10:19,tp,0.035940,35.940,0.000400,-0.000118,2020-03-12 00:00:-0.000106;2020-03-12 08:00:-0.000013,-0.00295,0.08773,11.75,4,1110,2020-03-11 19:59,2020-03-11 22:35,tp@2020-03-12 01:54:7762.56:0.500;tp@2020-03-12 01:54:7826.55:0.125;tp@2020-03-12 01:59:7719.63:0.125;tp@2020-03-12 06:29:7546.18:0.125;tp@2020-03-12 10:19:7265.82:0.125,2020-03-11 22:35|FILL|7964.54|1.000;2020-03-12 01:54|EXIT_TP|7762.56|0.500;2020-03-12 01:54|EXIT_TP|7826.55|0.125;2020-03-12 01:59|EXIT_TP|7719.63|0.125;2020-03-12 06:29|EXIT_TP|7546.18|0.125;2020-03-12 10:19|EXIT_TP|7265.82|0.125
S-2020-03-15 07:59-7,BTCUSDT,SHORT,2020-03-15 00:00,2020-03-15 07:59,2020-03-15 08:00,5519.81,5519.81,2020-03-15 12:15,5689.76,5040.00,649.76,5706.83,2020-03-15 21:54,,2020-03-15 21:54,stop,-0.035570,-35.570,0.000700,0.000488,2020-03-15 16:00:+0.000488,-0.03388,0.06345,9.67,2,1132,2020-03-15 11:59,2020-03-15 12:15,stop@2020-03-15 21:54:5706.83:1.000,2020-03-15 12:15|FILL|5519.81|1.000;2020-03-15 21:54|EXIT_STOP|5706.83|1.000
L-2020-03-20 11:59-8,BTCUSDT,LONG,2020-03-20 00:00,2020-03-20 11:59,2020-03-20 12:00,6275.79,6275.79,2020-03-20 18:25,6055.00,6911.00,856.00,6036.84,2020-03-20 20:09,,2020-03-20 20:09,stop,-0.039275,-39.275,0.000700,0.000000,,-0.03808,0.01395,1.75,2,1163,2020-03-20 15:59,2020-03-20 18:25,stop@2020-03-20 20:09:6036.84:1.000,2020-03-20 18:25|FILL|6275.79|1.000;2020-03-20 20:09|EXIT_STOP|6036.84|1.000
L-2020-03-22 07:59-9,BTCUSDT,LONG,2020-03-22 00:00,2020-03-22 07:59,2020-03-22 08:00,6170.75,6170.75,2020-03-22 10:35,6073.02,6408.91,335.89,6054.80,2020-03-22 12:04,,2020-03-22 12:04,stop,-0.019990,-19.990,0.000700,0.000000,,-0.01879,0.01911,1.50,1,1173,2020-03-22 07:59,2020-03-22 10:35,stop@2020-03-22 12:04:6054.80:1.000,2020-03-22 10:35|FILL|6170.75|1.000;2020-03-22 12:04|EXIT_STOP|6054.80|1.000
S-2020-03-24 15:59-10,BTCUSDT,SHORT,2020-03-25 00:00,2020-03-24 15:59,2020-03-25 00:00,6729.31,6729.31,2020-03-25 00:00,6840.00,6456.78,383.22,6860.52,,,2020-03-25 00:05,v,0.005620,5.620,0.000700,0.000000,,-0.00173,0.01434,0.08,3,1189,2020-03-24 23:59,2020-03-25 00:00,v@2020-03-25 00:05:6686.78:1.000,2020-03-25 00:00|FILL|6729.31|1.000;2020-03-25 00:04|V_DETECT|6600.00|0.000;2020-03-25 00:05|EXIT_V|6686.78|1.000
