signal_id,symbol,side,D_arm_time,R_confirm_time,order_create_time,expected_entry,actual_entry,actual_entry_time,ENTRY_R_LOW,ENTRY_R_HIGH,ENTRY_R_SIZE,structural_stop,stop_time,partial_exit_times,final_exit_time,exit_reason,r_net,pm_margin_pct,fee,funding,funding_events,mae,mfe,hold_h,age_bars,atr_idx,atr_end_time,decision_time,fills,event_sequence
S-2019-08-17 03:59-11,BTCUSDT,SHORT,2019-08-17 00:00,2019-08-17 03:59,2019-08-17 04:00,10425.59,10425.59,2019-08-17 08:25,10536.03,10201.00,335.03,10567.64,2019-08-19 07:04,2019-08-17 08:49;2019-08-17 17:24,2019-08-19 07:04,stop,0.001668,1.668,0.000550,0.000275,2019-08-17 16:00:+0.000075;2019-08-18 00:00:+0.000050;2019-08-18 08:00:+0.000050;2019-08-18 16:00:+0.000050;2019-08-19 00:00:+0.000050,-0.01362,0.04082,46.67,2,1365,2019-08-17 07:59,2019-08-17 08:25,tp@2019-08-17 08:49:10391.89:0.250;tp@2019-08-17 17:24:10060.81:0.250;stop@2019-08-19 07:04:10567.64:0.500,2019-08-17 08:25|FILL|10425.59|1.000;2019-08-17 08:49|EXIT_TP|10391.89|0.250;2019-08-17 17:24|EXIT_TP|10060.81|0.250;2019-08-19 07:04|EXIT_STOP|10567.64|0.500
S-2019-08-29 11:59-12,BTCUSDT,SHORT,2019-08-29 00:00,2019-08-29 11:59,2019-08-29 12:00,9599.77,9599.77,2019-08-29 15:00,9724.00,9320.00,404.00,9753.17,2019-09-01 21:34,2019-08-29 15:09,2019-09-01 21:34,stop,-0.010658,-10.658,0.000625,0.000750,2019-08-29 16:00:+0.000075;2019-08-30 00:00:+0.000075;2019-08-30 08:00:+0.000075;2019-08-30 16:00:+0.000075;2019-08-31 00:00:+0.000075;2019-08-31 08:00:+0.000075;2019-08-31 16:00:+0.000075;2019-09-01 00:00:+0.000075;2019-09-01 08:00:+0.000075;2019-09-01 16:00:+0.000075,-0.01598,0.02598,78.58,1,1438,2019-08-29 11:59,2019-08-29 15:00,tp@2019-08-29 15:09:9481.64:0.250;stop@2019-09-01 21:34:9753.17:0.750,2019-08-29 15:00|FILL|9599.77|1.000;2019-08-29 15:09|EXIT_TP|9481.64|0.250;2019-09-01 21:34|EXIT_STOP|9753.17|0.750
S-2019-10-09 19:59-13,BTCUSDT,SHORT,2019-10-10 00:00,2019-10-09 19:59,2019-10-10 00:00,8519.36,8519.36,2019-10-10 00:00,8663.92,8160.00,503.92,8689.91,2019-10-11 04:49,,2019-10-11 04:49,stop,-0.021519,-21.519,0.000700,0.000300,2019-10-10 08:00:+0.000100;2019-10-10 16:00:+0.000100;2019-10-11 00:00:+0.000100,-0.02002,0.01231,28.83,2,1687,2019-10-09 23:59,2019-10-10 00:00,stop@2019-10-11 04:49:8689.91:1.000,2019-10-10 00:00|FILL|8519.36|1.000;2019-10-11 04:49|EXIT_STOP|8689.91|1.000
S-2019-10-25 23:59-14,BTCUSDT,SHORT,2019-10-26 00:00,2019-10-25 23:59,2019-10-26 00:00,8642.79,8642.79,2019-10-26 00:00,8799.00,8247.30,551.70,8825.40,,,2019-10-26 00:05,v,-0.004599,-4.599,0.000700,0.000000,,-0.00882,0.00000,0.08,1,1783,2019-10-25 23:59,2019-10-26 00:00,v@2019-10-26 00:05:8676.49:1.000,2019-10-26 00:00|FILL|8642.79|1.000;2019-10-26 00:04|V_DETECT|8047.59|0.000;2019-10-26 00:05|EXIT_V|8676.49|1.000
S-2019-11-23 07:59-15,BTCUSDT,SHORT,2019-11-24 00:00,2019-11-23 07:59,2019-11-24 00:00,7300.76,7300.76,2019-11-24 00:00,7378.25,7143.00,235.25,7400.38,2019-11-27 16:49,,2019-11-27 16:49,stop,-0.015945,-15.945,0.000700,0.001100,2019-11-24 08:00:+0.000100;2019-11-24 16:00:+0.000100;2019-11-25 00:00:+0.000100;2019-11-25 08:00:+0.000100;2019-11-25 16:00:+0.000100;2019-11-26 00:00:+0.000100;2019-11-26 08:00:+0.000100;2019-11-26 16:00:+0.000100;2019-11-27 00:00:+0.000100;2019-11-27 08:00:+0.000100;2019-11-27 16:00:+0.000100,-0.01365,0.10763,88.83,5,1957,2019-11-23 23:59,2019-11-24 00:00,stop@2019-11-27 16:49:7400.38:1.000,2019-11-24 00:00|FILL|7300.76|1.000;2019-11-27 16:49|EXIT_STOP|7400.38|1.000
L-2019-11-29 23:59-16,BTCUSDT,LONG,2019-11-30 00:00,2019-11-29 23:59,2019-11-30 00:00,7538.68,7538.68,2019-11-30 14:25,7413.00,7850.00,437.00,7390.76,2019-12-01 01:24,,2019-12-01 01:24,stop,-0.021021,-21.021,0.000700,0.000200,2019-11-30 16:00:+0.000100;2019-12-01 00:00:+0.000100,-0.01962,0.00988,11.00,4,1996,2019-11-30 11:59,2019-11-30 14:25,stop@2019-12-01 01:24:7390.76:1.000,2019-11-30 14:25|FILL|7538.68|1.000;2019-12-01 01:24|EXIT_STOP|7390.76|1.000
S-2019-12-05 19:59-17,BTCUSDT,SHORT,2019-12-06 00:00,2019-12-05 19:59,2019-12-06 00:00,7410.78,7410.78,2019-12-06 01:40,7485.00,7265.00,220.00,7507.45,2019-12-06 17:54,,2019-12-06 17:54,stop,-0.014445,-14.445,0.000700,0.000200,2019-12-06 08:00:+0.000100;2019-12-06 16:00:+0.000100,-0.01305,0.01427,16.25,2,2029,2019-12-05 23:59,2019-12-06 01:40,stop@2019-12-06 17:54:7507.45:1.000,2019-12-06 01:40|FILL|7410.78|1.000;2019-12-06 17:54|EXIT_STOP|7507.45|1.000
S-2019-12-15 03:59-18,BTCUSDT,SHORT,2019-12-15 00:00,2019-12-15 03:59,2019-12-15 04:00,7060.37,7060.37,2019-12-15 04:00,7104.25,7008.35,95.90,7125.56,2019-12-15 07:09,,2019-12-15 07:09,stop,-0.010433,-10.433,0.000700,0.000000,,-0.00923,0.00354,3.17,1,2084,2019-12-15 03:59,2019-12-15 04:00,stop@2019-12-15 07:09:7125.56:1.000,2019-12-15 04:00|FILL|7060.37|1.000;2019-12-15 07:09|EXIT_STOP|7125.56|1.000
S-2019-12-20 23:59-19,BTCUSDT,SHORT,2019-12-20 00:00,2019-12-20 23:59,2019-12-21 00:00,7175.95,7175.95,2019-12-21 00:00,7234.00,7079.50,154.50,7255.70,2019-12-22 16:09,,2019-12-22 16:09,stop,-0.012814,-12.814,0.000700,0.000500,2019-12-21 08:00:+0.000100;2019-12-21 16:00:+0.000100;2019-12-22 00:00:+0.000100;2019-12-22 08:00:+0.000100;2019-12-22 16:00:+0.000100,-0.01111,0.00989,40.17,1,2119,2019-12-20 23:59,2019-12-21 00:00,stop@2019-12-22 16:09:7255.70:1.000,2019-12-21 00:00|FILL|7175.95|1.000;2019-12-22 16:09|EXIT_STOP|7255.70|1.000
L-2020-01-07 11:59-20,BTCUSDT,LONG,2020-01-07 00:00,2020-01-07 11:59,2020-01-07 12:00,7830.49,7830.49,2020-01-07 13:05,7758.29,7965.00,206.71,7735.02,2020-01-07 16:04,2020-01-07 14:34,2020-01-07 16:04,stop,-0.008620,-8.620,0.000625,0.000075,2020-01-07 16:00:+0.000075,-0.01219,0.00691,3.00,1,2224,2020-01-07 11:59,2020-01-07 13:05,tp@2020-01-07 14:34:7880.61:0.250;stop@2020-01-07 16:04:7735.02:0.750,2020-01-07 13:05|FILL|7830.49|1.000;2020-01-07 14:34|EXIT_TP|7880.61|0.250;2020-01-07 16:04|EXIT_STOP|7735.02|0.750
