time,bar_t,event,detail
2019-05-14 07:59,798,ORDER_CANCEL,"{""key"": 796, ""reason"": ""R_REPLACED"", ""level"": 7436.8824}"
2019-05-14 08:00,799,ORDER_CREATE,"{""key"": 798, ""level"": 7769.2552, ""stop"": 7545.296, ""atr_idx"": 798, ""atr_end_time"": 1557820799999, ""r_confirm_time"": 1557820799999}"
2019-05-14 08:00,799,SIGNAL,"{""key"": 798}"
2019-05-14 15:59,800,R_REPLACED,"{""old_key"": 798, ""new_key"": 800}"
2019-05-14 15:59,800,ORDER_CANCEL,"{""key"": 798, ""reason"": ""R_REPLACED"", ""level"": 7769.2552}"
2019-05-14 16:00,801,ORDER_CREATE,"{""key"": 800, ""level"": 8034.0059, ""stop"": 7876.3, ""atr_idx"": 800, ""atr_end_time"": 1557849599999, ""r_confirm_time"": 1557849599999}"
2019-05-14 16:00,801,SIGNAL,"{""key"": 800}"
2019-05-14 16:00,801,FILL,"{""signal_id"": ""L-2019-05-14 15:59-2"", ""expected"": 8034.0059, ""entry"": 8034.0059, ""stop"": 7876.3, ""key"": 800}"
2019-05-14 16:04,801,EXIT,"{""exit_kind"": ""stop"", ""px"": 7876.3, ""frac"": 1.0, ""signal_id"": ""L-2019-05-14 15:59-2""}"
2019-05-17 00:00,813,D_ARM,"{""day"": ""2019-05-16"", ""P0"": 6870.0, ""H1"": 8366.0}"
2019-05-17 08:00,815,ORDER_CREATE,"{""key"": 814, ""level"": 7239.9549, ""stop"": 6979.0, ""atr_idx"": 814, ""atr_end_time"": 1558079999999, ""r_confirm_time"": 1558079999999}"
2019-05-17 08:00,815,SIGNAL,"{""key"": 814}"
2019-05-17 08:05,815,FILL,"{""signal_id"": ""L-2019-05-17 07:59-3"", ""expected"": 7239.9549, ""entry"": 7239.9549, ""stop"": 6979.0, ""key"": 814}"
2019-05-17 12:24,816,EXIT,"{""exit_kind"": ""stop"", ""px"": 6979.0, ""frac"": 1.0, ""signal_id"": ""L-2019-05-17 07:59-3""}"
2019-05-21 00:00,837,D_ARM,"{""day"": ""2019-05-20"", ""P0"": 7156.61, ""H1"": 8275.09}"
