time,bar_t,event,detail
2020-01-07 00:00,722,D_ARM,"{""day"": ""2020-01-06"", ""P0"": 6871.04, ""H1"": 7795.34}"
2020-01-07 00:00,722,ORDER_CREATE,"{""key"": 721, ""level"": 7581.5674, ""stop"": 7459.2948, ""atr_idx"": 721, ""atr_end_time"": 1578355199999, ""r_confirm_time"": 1578355199999}"
2020-01-07 00:00,722,SIGNAL,"{""key"": 721}"
2020-01-07 07:59,723,R_REPLACED,"{""old_key"": 721, ""new_key"": 723}"
2020-01-07 07:59,723,ORDER_CANCEL,"{""key"": 721, ""reason"": ""R_REPLACED"", ""level"": 7581.5674}"
2020-01-07 08:00,724,ORDER_CREATE,"{""key"": 723, ""level"": 7669.671, ""stop"": 7510.401, ""atr_idx"": 723, ""atr_end_time"": 1578383999999, ""r_confirm_time"": 1578383999999}"
2020-01-07 08:00,724,SIGNAL,"{""key"": 723}"
2020-01-07 15:59,725,R_REPLACED,"{""old_key"": 723, ""new_key"": 725}"
2020-01-07 15:59,725,ORDER_CANCEL,"{""key"": 723, ""reason"": ""R_REPLACED"", ""level"": 7669.671}"
2020-01-07 16:00,726,ORDER_CREATE,"{""key"": 725, ""level"": 7883.4652, ""stop"": 7802.7015, ""atr_idx"": 725, ""atr_end_time"": 1578412799999, ""r_confirm_time"": 1578412799999}"
2020-01-07 16:00,726,SIGNAL,"{""key"": 725}"
2020-01-07 16:00,726,FILL,"{""signal_id"": ""L-2020-01-07 15:59-1"", ""expected"": 7883.4652, ""entry"": 7883.4652, ""stop"": 7802.7015, ""key"": 725}"
2020-01-07 16:04,726,EXIT,"{""exit_kind"": ""stop"", ""px"": 7802.7015, ""frac"": 1.0, ""signal_id"": ""L-2020-01-07 15:59-1""}"
2020-01-12 00:00,752,D_ARM,"{""day"": ""2020-01-11"", ""P0"": 7672.0, ""H1"": 8286.34}"
2020-01-12 04:00,753,ORDER_CREATE,"{""key"": 752, ""level"": 8096.1293, ""stop"": 7979.8584, ""atr_idx"": 752, ""atr_end_time"": 1578801599999, ""r_confirm_time"": 1578801599999}"
2020-01-12 04:00,753,SIGNAL,"{""key"": 752}"
2020-01-12 04:00,753,FILL,"{""signal_id"": ""L-2020-01-12 03:59-2"", ""expected"": 8096.1293, ""entry"": 8096.1293, ""stop"": 7979.8584, ""key"": 752}"
2020-01-12 11:59,754,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""L-2020-01-12 03:59-2""}"
2020-01-13 23:59,763,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""L-2020-01-12 03:59-2""}"
2020-01-14 01:04,764,EXIT,"{""exit_kind"": ""tp"", ""px"": 8328.671, ""frac"": 0.5, ""signal_id"": ""L-2020-01-12 03:59-2""}"
2020-01-14 11:59,766,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""L-2020-01-12 03:59-2""}"
2020-01-14 19:59,768,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""L-2020-01-12 03:59-2""}"
2020-01-15 03:59,770,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""L-2020-01-12 03:59-2""}"
2020-01-15 11:59,772,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""L-2020-01-12 03:59-2""}"
2020-01-15 19:59,774,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""L-2020-01-12 03:59-2""}"
2020-01-16 03:59,776,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""L-2020-01-12 03:59-2""}"
2020-01-16 15:59,779,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""L-2020-01-12 03:59-2""}"
2020-01-17 00:00,782,D_ARM,"{""day"": ""2020-01-16"", ""P0"": 8105.54, ""H1"": 8916.48}"
2020-01-17 00:00,782,ORDER_CREATE,"{""key"": 779, ""level"": 8668.7933, ""stop"": 8570.4613, ""atr_idx"": 781, ""atr_end_time"": 1579219199999, ""r_confirm_time"": 1579190399999}"
2020-01-17 00:00,782,SIGNAL,"{""key"": 779}"
2020-01-17 15:59,785,R_REPLACED,"{""old_key"": 779, ""new_key"": 785}"
2020-01-17 15:59,785,ORDER_CANCEL,"{""key"": 779, ""reason"": ""R_REPLACED"", ""level"": 8668.7933}"
2020-01-17 15:59,785,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""L-2020-01-12 03:59-2""}"
2020-01-17 16:00,786,ORDER_CREATE,"{""key"": 785, ""level"": 8856.153, ""stop"": 8738.705, ""atr_idx"": 785, ""atr_end_time"": 1579276799999, ""r_confirm_time"": 1579276799999}"
2020-01-17 16:00,786,SIGNAL,"{""key"": 785}"
2020-01-17 23:59,787,R_REPLACED,"{""old_key"": 785, ""new_key"": 787}"
2020-01-17 23:59,787,ORDER_CANCEL,"{""key"": 785, ""reason"": ""R_REPLACED"", ""level"": 8856.153}"
2020-01-17 23:59,787,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""L-2020-01-12 03:59-2""}"
2020-01-18 00:00,788,ORDER_CREATE,"{""key"": 787, ""level"": 8854.6726, ""stop"": 8758.645, ""atr_idx"": 787, ""atr_end_time"": 1579305599999, ""r_confirm_time"": 1579305599999}"
2020-01-18 00:00,788,SIGNAL,"{""key"": 787}"
2020-01-18 15:59,791,R_REPLACED,"{""old_key"": 787, ""new_key"": 791}"
2020-01-18 15:59,791,ORDER_CANCEL,"{""key"": 787, ""reason"": ""R_REPLACED"", ""level"": 8854.6726}"
2020-01-18 15:59,791,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""L-2020-01-12 03:59-2""}"
2020-01-18 16:00,792,ORDER_CREATE,"{""key"": 791, ""level"": 8878.4276, ""stop"": 8789.552, ""atr_idx"": 791, ""atr_end_time"": 1579363199999, ""r_confirm_time"": 1579363199999}"
2020-01-18 16:00,792,SIGNAL,"{""key"": 791}"
2020-01-19 11:04,796,R_INVALID,"{""key"": 791, ""mode"": ""5M""}"
2020-01-19 11:04,796,ORDER_CANCEL,"{""key"": 791, ""reason"": ""R_INVALID"", ""level"": 8878.4276}"
2020-01-19 11:59,796,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""L-2020-01-12 03:59-2""}"
2020-01-19 12:00,797,ORDER_CREATE,"{""key"": 796, ""level"": 8990.5033, ""stop"": 8872.1834, ""atr_idx"": 796, ""atr_end_time"": 1579435199999, ""r_confirm_time"": 1579435199999}"
2020-01-19 12:00,797,SIGNAL,"{""key"": 796}"
2020-01-19 12:04,797,R_INVALID,"{""key"": 796, ""mode"": ""5M""}"
2020-01-19 12:04,797,ORDER_CANCEL,"{""key"": 796, ""reason"": ""R_INVALID"", ""level"": 8990.5033}"
2020-01-19 19:59,798,R_CONFIRM_POS_FROZEN,"{""signal_id"": ""L-2020-01-12 03:59-2""}"
2020-01-19 20:00,799,ORDER_CREATE,"{""key"": 798, ""level"": 8577.814, ""stop"": 8479.485, ""atr_idx"": 798, ""atr_end_time"": 1579463999999, ""r_confirm_time"": 1579463999999}"
2020-01-19 20:00,799,SIGNAL,"{""key"": 798}"
