signal_id,side,D_arm_time,R_confirm_time,order_create_time,expected_entry,actual_entry,entry_time,ENTRY_R_LOW,ENTRY_R_HIGH,ENTRY_R_SIZE,structural_stop,stop_dist_pct,exit_time,exit_reason,r_net,pm_30x10,ret_risk1pct,lev_risk1pct,fee,funding,mae,mfe,mfe_R,hold_h,age_bars,atr_idx,atr_end_time,decision_time,fills
L-2020-01-07 15:59-1,LONG,2020-01-07 00:00,2020-01-07 15:59,2020-01-07 16:00,7883.47,7883.47,2020-01-07 16:00,7826.18,7969.00,142.82,7802.70,1.0245,2020-01-07 16:04,stop,-0.011445,-11.445,-0.01117,0.976,0.000700,0.000000,-0.01024,0.00000,0.000,0.08,1,725,2020-01-07 15:59,2020-01-07 16:00,stop@2020-01-07 16:04:7802.70:1.000
L-2020-01-12 03:59-2,LONG,2020-01-12 00:00,2020-01-12 03:59,2020-01-12 04:00,8096.13,8096.13,2020-01-12 04:00,8003.87,8292.19,288.32,7979.86,1.4361,2020-02-19 21:50,v,0.070819,70.819,0.04931,0.696,0.000550,0.026950,-0.00523,0.30186,21.019,929.83,1,752,2020-01-12 03:59,2020-01-12 04:00,tp@2020-01-14 01:04:8328.67:0.500;v@2020-02-19 21:50:9455.59:0.500
L-2020-03-20 11:59-3,LONG,2020-03-20 00:00,2020-03-20 11:59,2020-03-20 12:00,6275.79,6275.79,2020-03-20 18:25,6055.00,6911.00,856.00,6036.84,3.8075,2020-03-20 20:09,stop,-0.039275,-39.275,-0.01032,0.263,0.000700,0.000000,-0.03808,0.01395,0.366,1.75,2,1163,2020-03-20 15:59,2020-03-20 18:25,stop@2020-03-20 20:09:6036.84:1.000
L-2020-03-22 07:59-4,LONG,2020-03-22 00:00,2020-03-22 07:59,2020-03-22 08:00,6170.75,6170.75,2020-03-22 10:35,6073.02,6408.91,335.89,6054.80,1.8790,2020-03-22 12:04,stop,-0.019990,-19.990,-0.01064,0.532,0.000700,0.000000,-0.01879,0.01911,1.017,1.50,1,1173,2020-03-22 07:59,2020-03-22 10:35,stop@2020-03-22 12:04:6054.80:1.000
L-2020-04-07 11:59-5,LONG,2020-04-07 00:00,2020-04-07 11:59,2020-04-07 12:00,7294.65,7294.65,2020-04-07 12:30,7221.50,7439.00,217.50,7199.84,1.2998,2020-04-07 20:04,stop,-0.014209,-14.209,-0.01093,0.769,0.000700,0.000011,-0.01300,0.01436,1.105,7.58,1,1270,2020-04-07 11:59,2020-04-07 12:30,stop@2020-04-07 20:04:7199.84:1.000
L-2020-04-08 23:59-6,LONG,2020-04-09 00:00,2020-04-08 23:59,2020-04-09 00:00,7260.44,7260.44,2020-04-09 03:30,7192.00,7390.00,198.00,7170.42,1.2399,2020-04-09 11:59,stop,-0.013499,-13.499,-0.01089,0.807,0.000700,-0.000100,-0.01240,0.01165,0.939,8.50,1,1279,2020-04-08 23:59,2020-04-09 03:30,stop@2020-04-09 11:59:7170.42:1.000
L-2020-04-26 03:59-7,LONG,2020-04-26 00:00,2020-04-26 03:59,2020-04-26 04:00,7516.91,7516.91,2020-04-26 15:10,7468.30,7579.00,110.70,7445.90,0.9447,2020-05-10 00:20,v,0.050244,50.244,0.05318,1.059,0.000475,0.002207,-0.00533,0.34098,36.093,321.17,3,1384,2020-04-26 11:59,2020-04-26 15:10,tp@2020-04-26 23:29:7658.94:0.500;tp@2020-04-26 23:29:7608.16:0.125;tp@2020-04-29 02:09:7802.81:0.125;v@2020-05-10 00:20:8635.63:0.250
L-2020-05-23 23:59-8,LONG,2020-05-23 00:00,2020-05-23 23:59,2020-05-24 00:00,9144.00,9144.00,2020-05-24 00:05,9076.90,9245.33,168.43,9049.67,1.0316,2020-05-24 13:54,stop,-0.011595,-11.595,-0.01124,0.969,0.000700,0.000079,-0.01032,0.01645,1.595,13.83,1,1549,2020-05-23 23:59,2020-05-24 00:05,stop@2020-05-24 13:54:9049.67:1.000
L-2020-06-03 15:59-9,LONG,2020-06-04 00:00,2020-06-03 15:59,2020-06-04 00:00,9472.42,9472.42,2020-06-04 11:30,9382.33,9644.00,261.67,9354.18,1.2482,2020-06-07 12:29,stop,0.012232,12.232,0.00980,0.801,0.000550,0.000450,-0.00342,0.04345,3.481,73.00,5,1617,2020-06-04 07:59,2020-06-04 11:30,tp@2020-06-04 13:24:9708.88:0.500;stop@2020-06-07 12:29:9491.36:0.500
L-2020-08-02 23:59-10,LONG,2020-08-03 00:00,2020-08-02 23:59,2020-08-03 00:00,11038.72,11038.72,2020-08-03 00:00,10915.42,11297.98,382.56,10882.67,1.4136,2020-08-04 13:19,stop,0.013350,13.350,0.00944,0.707,0.000550,0.000987,-0.01048,0.04025,2.847,37.33,1,1975,2020-08-02 23:59,2020-08-03 00:00,tp@2020-08-03 14:34:11350.82:0.500;stop@2020-08-04 13:19:11060.80:0.500
L-2020-09-01 19:59-11,LONG,2020-09-02 00:00,2020-09-01 19:59,2020-09-02 00:00,11906.39,11906.39,2020-09-02 00:30,11812.00,12061.07,249.07,11776.56,1.0904,2020-09-02 06:39,stop,-0.012104,-12.104,-0.01110,0.917,0.000700,0.000000,-0.01090,0.00329,0.302,6.17,2,2155,2020-09-01 23:59,2020-09-02 00:30,stop@2020-09-02 06:39:11776.56:1.000
L-2020-09-29 03:59-12,LONG,2020-09-29 00:00,2020-09-29 03:59,2020-09-29 04:00,10720.72,10720.72,2020-09-29 04:00,10627.19,10887.65,260.46,10595.31,1.1698,2020-10-01 16:19,stop,-0.013673,-13.673,-0.01169,0.855,0.000700,0.000774,-0.01170,0.02000,1.710,60.33,1,2318,2020-09-29 03:59,2020-09-29 04:00,stop@2020-10-01 16:19:10595.31:1.000
L-2020-10-28 03:59-13,LONG,2020-10-27 00:00,2020-10-28 03:59,2020-10-28 04:00,13636.19,13636.19,2020-10-28 07:10,13512.74,13863.00,350.26,13472.20,1.2026,2020-10-28 11:09,stop,-0.013326,-13.326,-0.01108,0.832,0.000700,0.000100,-0.01203,0.00473,0.394,4.00,1,2492,2020-10-28 03:59,2020-10-28 07:10,stop@2020-10-28 11:09:13472.20:1.000
L-2020-11-07 23:59-14,LONG,2020-11-08 00:00,2020-11-07 23:59,2020-11-08 00:00,14803.79,14803.79,2020-11-08 00:00,14555.00,15421.58,866.58,14511.33,1.9756,2020-11-09 16:14,stop,0.020579,20.579,0.01042,0.506,0.000513,0.000250,-0.00634,0.07196,3.642,40.25,1,2557,2020-11-07 23:59,2020-11-08 00:00,tp@2020-11-08 15:04:15388.70:0.500;tp@2020-11-08 15:04:14925.03:0.125;stop@2020-11-09 16:14:14833.40:0.375
L-2020-12-04 07:59-15,LONG,2020-12-03 00:00,2020-12-04 07:59,2020-12-04 08:00,19272.27,19272.27,2020-12-04 10:05,19115.00,19537.16,422.16,19057.65,1.1136,2020-12-04 10:14,stop,-0.012336,-12.336,-0.01108,0.898,0.000700,0.000000,-0.01114,0.00432,0.388,0.17,1,2715,2020-12-04 07:59,2020-12-04 10:05,stop@2020-12-04 10:14:19057.65:1.000
L-2020-12-28 07:59-16,LONG,2020-12-29 00:00,2020-12-28 07:59,2020-12-29 00:00,26292.08,26292.08,2020-12-29 04:05,25850.00,27390.00,1540.00,25772.45,1.9764,2021-01-02 16:34,tp,0.100097,100.097,0.05065,0.506,0.000400,0.003183,-0.01442,0.23631,11.957,108.50,6,2864,2020-12-29 03:59,2020-12-29 04:05,tp@2020-12-29 23:39:27331.34:0.500;tp@2021-01-01 01:14:29386.62:0.125;tp@2021-01-02 12:19:29981.25:0.125;tp@2021-01-02 12:49:30945.87:0.125;tp@2021-01-02 16:34:32505.13:0.125
L-2021-01-03 15:59-17,LONG,2020-12-31 00:00,2021-01-03 15:59,2021-01-03 16:00,33107.20,33107.20,2021-01-03 16:45,32472.00,34743.92,2271.92,32374.58,2.2129,2021-01-04 07:24,stop,-0.024970,-24.970,-0.01128,0.452,0.000700,0.001641,-0.02213,0.02540,1.148,14.67,1,2897,2021-01-03 15:59,2021-01-03 16:45,stop@2021-01-04 07:24:32374.58:1.000
L-2021-01-09 03:59-18,LONG,2021-01-09 00:00,2021-01-09 03:59,2021-01-09 04:00,39336.92,39336.92,2021-01-09 05:55,38655.00,41045.93,2390.93,38539.04,2.0283,2021-01-10 11:24,stop,0.021102,21.102,0.01040,0.493,0.000513,0.002219,-0.01535,0.05600,2.761,29.50,1,2930,2021-01-09 03:59,2021-01-09 05:55,tp@2021-01-09 11:24:40932.68:0.500;tp@2021-01-09 11:24:40277.14:0.125;stop@2021-01-10 11:24:39415.59:0.375
L-2021-01-14 23:59-19,LONG,2021-01-15 00:00,2021-01-14 23:59,2021-01-15 00:00,38418.14,38418.14,2021-01-15 04:15,37760.00,40061.83,2301.83,37646.72,2.0080,2021-01-15 06:09,stop,-0.021280,-21.280,-0.01060,0.498,0.000700,0.000000,-0.02008,0.01252,0.623,1.92,2,2966,2021-01-15 03:59,2021-01-15 04:15,stop@2021-01-15 06:09:37646.72:1.000
L-2021-01-26 03:59-20,LONG,2021-01-26 00:00,2021-01-26 03:59,2021-01-26 04:00,32391.02,32391.02,2021-01-26 04:00,31921.47,33500.57,1579.10,31825.71,1.7453,2021-01-26 04:04,stop,-0.018653,-18.653,-0.01069,0.573,0.000700,0.000000,-0.01745,0.00000,0.000,0.08,1,3032,2021-01-26 03:59,2021-01-26 04:00,stop@2021-01-26 04:04:31825.71:1.000
L-2021-02-09 15:59-21,LONG,2021-02-09 00:00,2021-02-09 15:59,2021-02-09 16:00,46420.38,46420.38,2021-02-09 16:10,45700.00,48164.15,2464.15,45562.90,1.8472,2021-02-10 12:34,stop,-0.022669,-22.669,-0.01227,0.541,0.000700,0.002997,-0.01847,0.02541,1.376,20.42,1,3119,2021-02-09 15:59,2021-02-09 16:10,stop@2021-02-10 12:34:45562.90:1.000
L-2021-02-10 19:59-22,LONG,2021-02-11 00:00,2021-02-10 19:59,2021-02-11 00:00,44591.54,44591.54,2021-02-11 00:10,43770.00,46685.95,2915.95,43638.69,2.1368,2021-02-23 04:40,v,0.062691,62.691,0.02934,0.468,0.000513,0.015672,-0.01239,0.31128,14.567,292.50,2,3127,2021-02-10 23:59,2021-02-11 00:10,tp@2021-02-11 11:54:46497.24:0.500;tp@2021-02-11 11:54:46306.99:0.125;v@2021-02-23 04:40:50857.91:0.375
L-2021-03-05 23:59-23,LONG,2021-03-06 00:00,2021-03-05 23:59,2021-03-06 00:00,47656.36,47656.36,2021-03-06 12:10,46909.55,49470.00,2560.45,46768.82,1.8624,2021-03-06 13:00,v,0.000148,0.148,0.00008,0.537,0.000700,0.000000,-0.00464,0.00406,0.218,0.83,4,3268,2021-03-06 11:59,2021-03-06 12:10,v@2021-03-06 13:00:47696.75:1.000
L-2021-03-15 23:59-24,LONG,2021-03-16 00:00,2021-03-15 23:59,2021-03-16 00:00,55695.82,55695.82,2021-03-16 00:00,55078.00,56990.00,1912.00,54912.77,1.4059,2021-03-16 00:05,v,0.002252,2.252,0.00160,0.711,0.000700,0.000000,-0.00711,0.00330,0.235,0.08,1,3325,2021-03-15 23:59,2021-03-16 00:00,v@2021-03-16 00:05:55860.23:1.000
L-2021-03-20 11:59-25,LONG,2021-03-20 00:00,2021-03-20 11:59,2021-03-20 12:00,58411.70,58411.70,2021-03-20 20:20,57881.00,59389.42,1508.42,57707.36,1.2058,2021-03-21 02:34,stop,-0.013572,-13.572,-0.01126,0.829,0.000700,0.000314,-0.01206,0.01086,0.901,6.25,3,3354,2021-03-20 19:59,2021-03-20 20:20,stop@2021-03-21 02:34:57707.36:1.000
L-2021-04-19 19:59-26,LONG,2021-04-20 00:00,2021-04-19 19:59,2021-04-20 00:00,55075.20,55075.20,2021-04-20 00:20,54200.00,57210.45,3010.45,54037.40,1.8843,2021-04-20 02:24,stop,-0.020043,-20.043,-0.01064,0.531,0.000700,0.000000,-0.01884,0.00308,0.164,2.08,2,3535,2021-04-19 23:59,2021-04-20 00:20,stop@2021-04-20 02:24:54037.40:1.000
L-2021-05-01 07:59-27,LONG,2021-04-30 00:00,2021-05-01 07:59,2021-05-01 08:00,57102.63,57102.63,2021-05-01 15:25,56451.08,58488.17,2037.09,56281.73,1.4376,2021-05-02 04:04,stop,-0.016059,-16.059,-0.01117,0.696,0.000700,0.000483,-0.01438,0.01704,1.185,12.67,2,3604,2021-05-01 11:59,2021-05-01 15:25,stop@2021-05-02 04:04:56281.73:1.000
L-2021-05-02 15:59-28,LONG,2021-05-03 00:00,2021-05-02 15:59,2021-05-03 00:00,56565.37,56565.37,2021-05-03 00:00,56100.00,57355.00,1255.00,55931.70,1.1202,2021-05-03 20:39,stop,0.010885,10.885,0.00972,0.893,0.000550,0.000517,-0.00010,0.04404,3.931,20.67,3,3613,2021-05-02 23:59,2021-05-03 00:00,tp@2021-05-03 01:39:57832.71:0.500;stop@2021-05-03 20:39:56678.50:0.500
L-2021-05-11 11:59-29,LONG,2021-05-12 00:00,2021-05-11 11:59,2021-05-12 00:00,55112.39,55112.39,2021-05-12 16:15,54541.33,56262.61,1721.28,54377.71,1.3331,2021-05-12 18:19,stop,-0.014531,-14.531,-0.01090,0.750,0.000700,0.000000,-0.01333,0.00435,0.326,2.08,8,3671,2021-05-12 15:59,2021-05-12 16:15,stop@2021-05-12 18:19:54377.71:1.000
L-2021-05-27 15:59-30,LONG,2021-05-28 00:00,2021-05-27 15:59,2021-05-28 00:00,38079.02,38079.02,2021-05-28 00:05,37201.00,40438.82,3237.82,37089.40,2.5989,2021-05-28 05:44,stop,-0.027189,-27.189,-0.01046,0.385,0.000700,0.000000,-0.02599,0.02125,0.818,5.67,3,3763,2021-05-27 23:59,2021-05-28 00:05,stop@2021-05-28 05:44:37089.40:1.000
L-2021-06-02 23:59-31,LONG,2021-06-03 00:00,2021-06-02 23:59,2021-06-03 00:00,37444.76,37444.76,2021-06-03 00:00,37066.00,38196.35,1130.35,36954.80,1.3085,2021-06-04 02:14,stop,0.013135,13.135,0.01004,0.764,0.000550,0.000150,-0.00787,0.05409,4.133,26.25,1,3799,2021-06-02 23:59,2021-06-03 00:00,tp@2021-06-03 05:14:38424.68:0.500;stop@2021-06-04 02:14:37519.65:0.500
L-2021-06-16 23:59-32,LONG,2021-06-17 00:00,2021-06-16 23:59,2021-06-17 00:00,38723.30,38723.30,2021-06-17 00:00,38270.00,39700.00,1430.00,38155.19,1.4671,2021-06-17 17:19,stop,-0.016071,-16.071,-0.01095,0.682,0.000700,0.000200,-0.01467,0.02174,1.482,17.33,1,3883,2021-06-16 23:59,2021-06-17 00:00,stop@2021-06-17 17:19:38155.19:1.000
L-2021-07-04 15:59-33,LONG,2021-07-05 00:00,2021-07-04 15:59,2021-07-05 00:00,34956.70,34956.70,2021-07-05 00:00,34602.60,35660.00,1057.40,34498.79,1.3099,2021-07-05 01:44,stop,-0.014299,-14.299,-0.01092,0.763,0.000700,0.000000,-0.01310,0.00929,0.709,1.75,3,3991,2021-07-04 23:59,2021-07-05 00:00,stop@2021-07-05 01:44:34498.79:1.000
L-2021-08-02 03:59-34,LONG,2021-08-02 00:00,2021-08-02 03:59,2021-08-02 04:00,39980.33,39980.33,2021-08-02 04:00,39350.40,41512.87,2162.47,39232.35,1.8709,2021-08-02 12:14,stop,-0.020009,-20.009,-0.01069,0.535,0.000700,0.000100,-0.01871,0.01175,0.628,8.25,1,4160,2021-08-02 03:59,2021-08-02 04:00,stop@2021-08-02 12:14:39232.35:1.000
L-2021-08-21 23:59-35,LONG,2021-08-21 00:00,2021-08-21 23:59,2021-08-22 00:00,48942.00,48942.00,2021-08-22 00:00,48475.16,49833.00,1357.84,48329.73,1.2510,2021-08-22 14:54,stop,-0.013810,-13.810,-0.01104,0.799,0.000700,0.000100,-0.01251,0.01140,0.911,14.92,1,4279,2021-08-21 23:59,2021-08-22 00:00,stop@2021-08-22 14:54:48329.73:1.000
L-2021-09-03 19:59-36,LONG,2021-09-03 00:00,2021-09-03 19:59,2021-09-03 20:00,49881.51,49881.51,2021-09-03 22:10,49306.44,51111.00,1804.56,49158.52,1.4494,2021-09-07 14:29,stop,0.025852,25.852,0.01784,0.690,0.000438,0.001179,-0.01046,0.06152,4.244,88.33,1,4356,2021-09-03 19:59,2021-09-03 22:10,tp@2021-09-05 20:54:51327.50:0.500;tp@2021-09-05 20:54:51120.50:0.125;tp@2021-09-05 20:54:51503.00:0.125;tp@2021-09-06 11:19:52123.50:0.125;stop@2021-09-07 14:29:49981.28:0.125
L-2021-09-25 15:59-37,LONG,2021-09-26 00:00,2021-09-25 15:59,2021-09-26 00:00,42067.54,42067.54,2021-09-26 02:10,41630.26,42950.00,1319.74,41505.37,1.3364,2021-09-26 07:39,stop,-0.014564,-14.564,-0.01090,0.748,0.000700,0.000000,-0.01336,0.00761,0.570,5.50,3,4489,2021-09-25 23:59,2021-09-26 02:10,stop@2021-09-26 07:39:41505.37:1.000
