version,feature,population,period,tercile,n,mean_R,mean_R_top2rm,median_R,p_win2r,p_ride7,stop_rate,pr_p5,pr_p95
V2,VOL30,P-R(median of runs),TEST,0,13.0,1.9602,,-0.8122,25.00,19.09,61.54,7.14,38.46
V2,VOL30,P-R(median of runs),TEST,1,5.0,0.7172,,-1.0937,20.00,16.67,66.67,0.00,50.00
V2,VOL30,P-R(median of runs),TEST,2,6.0,-0.6574,,-1.0994,0.00,0.00,85.71,0.00,33.33
V2,RET14,P-A,DEV,0,22,-0.9954,-0.9954,-1.0752,0.00,4.55,95.45,,
V2,RET14,P-A,DEV,1,19,1.0019,-0.0526,-0.7070,15.79,15.79,73.68,,
V2,RET14,P-A,DEV,2,16,1.0959,1.0959,-1.0442,31.25,18.75,68.75,,
V2,RET14,P-S,DEV,0,22,-0.9954,-0.9954,-1.0752,0.00,4.55,95.45,,
V2,RET14,P-S,DEV,1,22,0.7318,-0.1914,-0.7216,13.64,13.64,77.27,,
V2,RET14,P-S,DEV,2,22,1.1501,1.1501,-0.8256,36.36,22.73,72.73,,
V2,RET14,P-R(median of runs),DEV,0,21.0,-0.2346,,-1.0856,8.70,4.55,68.30,0.00,11.11
V2,RET14,P-R(median of runs),DEV,1,19.0,-0.0696,,-1.1028,12.50,5.26,80.00,0.00,15.02
V2,RET14,P-R(median of runs),DEV,2,14.0,0.2977,,-1.0757,17.91,6.67,76.47,0.00,16.67
V2,RET14,P-A,TEST,0,8,-0.6094,-0.6094,-1.0821,12.50,0.00,75.00,,
V2,RET14,P-A,TEST,1,12,5.0385,0.5660,-0.7056,33.33,25.00,66.67,,
V2,RET14,P-A,TEST,2,5,0.3019,0.3019,-1.0839,40.00,20.00,80.00,,
V2,RET14,P-S,TEST,0,9,-0.6618,-0.6618,-1.0811,11.11,0.00,77.78,,
V2,RET14,P-S,TEST,1,17,3.7867,0.6381,-0.7761,29.41,23.53,70.59,,
V2,RET14,P-S,TEST,2,9,-0.2682,-0.2682,-1.0839,22.22,11.11,88.89,,
