version,stop_id,group,src,entry_time,entry_px,stop_px,stop_dist_pct,year,stopped,censored,max_R,bars_to_exit
V2,S1,STRAT_S1,0.236-46,2021-05-28 00:05,38075.35,37093.15,2.5796,2021,1,0,0.8170,67
V2,S1,STRAT_S1,0.236-47,2021-06-03 00:10,37439.96,36947.43,1.3155,2021,1,0,4.1339,348
V2,S1,STRAT_S1,0.236-48,2021-06-17 00:00,38755.99,38186.77,1.4687,2021,1,0,1.4123,207
V2,S1,STRAT_S1,0.236-49,2021-07-05 00:00,34977.55,34517.55,1.3151,2021,1,0,0.1113,18
V2,S1,STRAT_S1,0.236-50,2021-08-02 04:00,40032.15,39303.74,1.8196,2021,1,0,0.6148,98
V2,S1,STRAT_S1,0.236-51,2021-08-22 00:00,48892.53,48288.77,1.2349,2021,1,0,1.0061,178
V2,S1,STRAT_S1,0.236-52,2021-09-03 22:10,49816.26,49107.80,1.4221,2021,1,0,4.3810,1063
V2,S1,STRAT_S1,0.236-53,2021-09-26 02:10,42083.81,41521.34,1.3365,2021,1,0,0.5585,65
V2,S1,STRAT_S1,0.236-54,2021-10-07 22:20,53834.97,53196.93,1.1852,2021,1,0,23.7681,16391
V2,S1,STRAT_S1,0.236-55,2021-10-09 00:00,54366.06,53456.76,1.6726,2021,1,0,16.0935,14624
V2,S1,STRAT_S1,0.236-56,2021-10-18 13:00,60023.47,58786.11,2.0615,2021,1,0,5.6383,2532
V2,S1,STRAT_S1,0.236-57,2021-10-30 05:00,61421.50,60517.52,1.4718,2021,1,0,1.0883,348
V2,S1,STRAT_S1,0.236-58,2021-11-12 09:55,63624.93,62634.43,1.5568,2021,1,0,0.5937,78
V2,S1,STRAT_S1,0.236-59,2022-01-30 14:20,37724.02,37156.63,1.5040,2022,1,0,0.8918,124
V2,S1,STRAT_S1,0.236-60,2022-02-12 00:00,42582.62,41923.85,1.5470,2022,1,0,0.0000,80
V2,S1,STRAT_S1,0.236-61,2022-03-04 08:00,41538.10,40946.70,1.4237,2022,1,0,0.3991,6
V2,S1,STRAT_S1,0.236-62,2022-04-13 01:15,39643.20,39143.61,1.2602,2022,1,0,3.8393,1476
V2,S1,STRAT_S1,0.236-63,2022-07-16 04:00,20831.95,20574.79,1.2344,2022,1,0,0.0000,23
V2,S1,STRAT_S1,0.236-64,2022-07-21 04:00,23186.39,22837.47,1.5048,2022,1,0,0.0000,0
V2,S1,STRAT_S1,0.236-65,2022-09-15 14:35,19860.10,19558.77,1.5173,2022,1,0,0.2275,8
V2,S1,STRAT_S1,0.236-66,2022-09-28 00:00,19142.18,18759.87,1.9972,2022,1,0,0.2514,27
V2,S1,STRAT_S1,0.236-67,2023-01-12 13:30,18040.07,17853.53,1.0341,2023,0,1,38.6495,17280
V2,S1,STRAT_S1,0.236-68,2023-01-24 09:00,22838.13,22586.04,1.1038,2023,1,0,0.9612,171
V2,S1,STRAT_S1,0.236-69,2023-02-16 12:10,24464.51,24205.74,1.0577,2023,1,0,3.0356,124
V2,S1,STRAT_S1,0.236-70,2023-02-19 08:00,24609.10,24356.71,1.0256,2023,1,0,2.3095,119
V2,S1,STRAT_S1,0.236-71,2023-03-15 00:00,24708.67,24139.85,2.3021,2023,1,0,0.8584,194
V2,S1,STRAT_S1,0.236-72,2023-03-18 16:30,26696.16,26185.21,1.9140,2023,1,0,8.4232,15696
V2,S1,STRAT_S1,0.236-73,2023-03-20 02:35,27494.43,27028.79,1.6936,2023,1,0,2.9499,780
V2,S1,STRAT_S1,0.236-74,2023-03-30 04:00,28468.50,28051.41,1.4651,2023,1,0,0.7363,147
V2,S1,STRAT_S1,0.236-75,2023-04-27 12:35,28677.04,28293.72,1.3367,2023,1,0,3.3715,1069
V2,S1,STRAT_S1,0.236-76,2023-06-24 15:30,30360.81,29821.34,1.7769,2023,1,0,1.7076,1707
V2,S1,STRAT_S1,0.236-77,2023-10-21 02:35,29476.93,29140.07,1.1428,2023,0,1,45.1910,17280
V2,S1,STRAT_S1,0.236-78,2023-11-17 14:50,35884.32,35393.50,1.3678,2023,0,1,26.6597,17280
V2,S1,STRAT_S1,0.236-79,2023-12-14 13:10,42874.34,42443.86,1.0041,2023,1,0,0.1086,3
V2,S1,STRAT_S1,0.236-80,2024-01-05 01:45,43612.78,42967.77,1.4790,2024,1,0,0.0000,0
