version,test,run,n_trades,blocked,sizing,pf,sum_pm,ret,cagr,mdd,mtm_mdd_close,wr,exp,worst,sharpe,sortino
V2,F1_taker,17,79,0,30%x10x,1.2307,305.9867,-21.8876,-3.2420,77.5837,82.3884,24.0506,1.1620,11.0000,0.1855,0.5718
V2,F1_taker,18,79,0,risk1%,1.2888,413.4276,14.8162,1.8604,15.8553,20.5949,25.3165,0.2310,11.0000,0.2130,0.7962
V2,F1_taker,18,79,0,30%x10x,1.3394,413.4276,9.8989,1.2673,65.5507,74.5489,25.3165,1.5700,11.0000,0.2533,0.7839
V2,F1_taker,19,79,0,risk1%,1.2163,282.2304,10.1590,1.2992,17.0090,19.7035,24.0506,0.1726,11.0000,0.1700,0.5996
V2,F1_taker,19,79,0,30%x10x,1.2225,282.2304,-21.1734,-3.1244,78.4472,81.5375,24.0506,1.0718,11.0000,0.1769,0.5551
V2,F1_taker,20,79,0,risk1%,1.2843,250.7627,14.2292,1.7908,14.9130,19.6042,25.3165,0.2267,11.0000,0.2049,0.7865
V2,F1_taker,20,79,0,30%x10x,1.1785,250.7627,-36.9344,-5.9651,77.7843,82.9003,25.3165,0.9523,11.0000,0.1500,0.4291
V2,F1_taker,21,79,0,risk1%,1.2993,315.8225,15.6387,1.9575,16.0931,21.8570,24.0506,0.2435,11.0000,0.2181,0.8323
V2,F1_taker,21,79,0,30%x10x,1.2319,315.8225,-24.0765,-3.6082,73.5637,77.5619,24.0506,1.1993,11.0000,0.1883,0.5457
V2,F1_taker,22,79,0,risk1%,1.2837,227.4313,14.4871,1.8214,15.5405,19.2278,25.3165,0.2265,11.0000,0.2116,0.7805
V2,F1_taker,22,79,0,30%x10x,1.1685,227.4313,-38.1155,-6.2020,78.3612,81.9017,25.3165,0.8637,11.0000,0.1391,0.3878
V2,F1_taker,23,79,0,risk1%,1.3131,276.7631,16.1873,2.0219,16.3503,19.3175,22.7848,0.2537,11.0000,0.2186,0.8692
V2,F1_taker,23,79,0,30%x10x,1.2058,276.7631,-28.0979,-4.3055,78.5599,81.1994,22.7848,1.0510,11.0000,0.1680,0.5116
V2,F1_taker,24,79,0,risk1%,1.2792,195.3751,14.2388,1.7919,17.2318,21.7411,24.0506,0.2232,11.0000,0.2099,0.7718
V2,F1_taker,24,79,0,30%x10x,1.1359,195.3751,-46.7766,-8.0699,79.2581,82.0438,24.0506,0.7419,11.0000,0.1171,0.3230
V2,F1_taker,25,79,0,risk1%,1.3216,436.9339,16.4491,2.0525,17.5781,22.4263,22.7848,0.2574,11.0000,0.2203,0.8901
V2,F1_taker,25,79,0,30%x10x,1.3608,436.9339,16.3622,2.0423,70.9779,75.8781,22.7848,1.6592,11.0000,0.2648,0.8853
V2,F1_taker,26,79,0,risk1%,1.2392,156.8198,11.5549,1.4696,16.2398,21.3718,25.3165,0.1918,11.0000,0.1821,0.6615
V2,F1_taker,26,79,0,30%x10x,1.1124,156.8198,-49.1725,-8.6331,79.0645,82.2715,25.3165,0.5955,11.0000,0.0962,0.2702
V2,F1_taker,27,79,0,risk1%,1.2582,309.6460,12.4178,1.5739,19.5668,20.4031,25.3165,0.2087,11.0000,0.1843,0.7150
V2,F1_taker,27,79,0,30%x10x,1.2318,309.6460,-21.8590,-3.2372,77.4715,79.2302,25.3165,1.1759,11.0000,0.1870,0.5675
V2,F1_taker,28,79,0,risk1%,1.3733,75.5811,18.9069,2.3373,16.5193,19.3920,25.3165,0.2974,11.0000,0.2269,1.0355
V2,F1_taker,28,79,0,30%x10x,1.0507,75.5811,-60.1149,-11.5411,82.5343,84.4865,25.3165,0.2870,11.0000,0.0463,0.1280
V2,F1_taker,29,79,0,risk1%,1.2100,261.3132,9.3336,1.1976,17.1084,20.2448,25.3165,0.1659,11.0000,0.1576,0.5769
V2,F1_taker,29,79,0,30%x10x,1.1969,261.3132,-29.4816,-4.5533,75.8299,79.0138,25.3165,0.9923,11.0000,0.1608,0.4797
V2,F1_taker,30,79,0,risk1%,1.3065,138.8585,15.8423,1.9814,16.8799,21.9975,24.0506,0.2422,11.0000,0.2248,0.8486
V2,F1_taker,30,79,0,30%x10x,1.0977,138.8585,-52.0082,-9.3303,79.9463,82.3776,24.0506,0.5273,11.0000,0.0856,0.2311
V2,F1_taker,31,79,0,risk1%,1.1615,136.9144,6.4787,0.8410,18.3178,22.4250,24.0506,0.1282,11.0000,0.1272,0.4477
V2,F1_taker,31,79,0,30%x10x,1.0966,136.9144,-52.2966,-9.4031,78.2095,83.0350,24.0506,0.5199,11.0000,0.0842,0.2305
V2,F1_taker,32,79,0,risk1%,1.2931,194.3632,13.9843,1.7616,18.5306,23.6028,26.5823,0.2309,11.0000,0.1965,0.8020
V2,F1_taker,32,79,0,30%x10x,1.1436,194.3632,-42.3671,-7.0885,76.4209,80.7074,26.5823,0.7381,11.0000,0.1203,0.3325
V2,F1_taker,33,79,0,risk1%,1.2549,265.1435,12.4069,1.5726,14.4337,18.6678,22.7848,0.2029,11.0000,0.1900,0.7047
V2,F1_taker,33,79,0,30%x10x,1.1947,265.1435,-31.4667,-4.9162,75.6713,79.7991,22.7848,1.0069,11.0000,0.1605,0.4841
V2,F1_taker,34,79,0,risk1%,1.3980,201.7418,21.7322,2.6584,16.5740,23.9596,25.3165,0.3165,11.0000,0.2655,1.0981
V2,F1_taker,34,79,0,30%x10x,1.1405,201.7418,-46.6471,-8.0401,77.7719,80.8534,25.3165,0.7661,11.0000,0.1202,0.3263
V2,F1_taker,35,79,0,risk1%,1.3282,171.6546,17.1375,2.1328,17.4379,24.1929,25.3165,0.2624,11.0000,0.2300,0.9090
V2,F1_taker,35,79,0,30%x10x,1.1195,171.6546,-50.1785,-8.8765,76.9084,80.7994,25.3165,0.6519,11.0000,0.1030,0.2811
V2,F1_taker,36,79,0,risk1%,1.4699,427.0510,26.5547,3.1919,15.9545,21.7075,25.3165,0.3726,11.0000,0.2958,1.2958
V2,F1_taker,36,79,0,30%x10x,1.3367,427.0510,9.2206,1.1837,72.3032,78.9120,25.3165,1.6217,11.0000,0.2556,0.8272
V2,F1_taker,37,79,0,risk1%,1.4405,231.6667,24.6733,2.9859,17.1561,22.5001,22.7848,0.3523,11.0000,0.2828,1.2234
V2,F1_taker,37,79,0,30%x10x,1.1578,231.6667,-44.2826,-7.5066,80.6015,82.1042,22.7848,0.8797,11.0000,0.1352,0.3786
V2,F1_taker,38,79,0,risk1%,1.4433,237.4880,25.6426,3.0924,17.1392,22.5312,24.0506,0.3542,11.0000,0.3059,1.2286
V2,F1_taker,38,79,0,30%x10x,1.1758,237.4880,-34.2078,-5.4326,72.1321,78.6721,24.0506,0.9019,11.0000,0.1469,0.4268
V2,F1_taker,39,79,0,risk1%,1.3622,316.2923,19.9049,2.4515,16.0977,23.5254,24.0506,0.2950,11.0000,0.2520,1.0070
V2,F1_taker,39,79,0,30%x10x,1.2380,316.2923,-20.9805,-3.0928,71.7272,76.7586,24.0506,1.2011,11.0000,0.1907,0.5736
V2,F1_taker,40,79,0,risk1%,1.2200,186.3813,10.3862,1.3271,16.3643,20.4444,24.0506,0.1742,11.0000,0.1731,0.6065
V2,F1_taker,40,79,0,30%x10x,1.1369,186.3813,-42.6690,-7.1536,74.2185,79.4861,24.0506,0.7078,11.0000,0.1165,0.3233
V2,F1_taker,41,79,0,risk1%,1.4887,363.4804,26.6919,3.2068,15.0241,19.9747,25.3165,0.3897,11.0000,0.2756,1.3471
V2,F1_taker,41,79,0,30%x10x,1.2764,363.4804,-11.7410,-1.6525,76.5247,77.5282,25.3165,1.3803,11.0000,0.2161,0.6521
V2,F1_taker,42,79,0,risk1%,1.2637,160.7220,13.6095,1.7169,17.6538,20.8318,24.0506,0.2118,11.0000,0.2089,0.7291
V2,F1_taker,42,79,0,30%x10x,1.1113,160.7220,-49.6045,-8.7371,76.4080,81.4081,24.0506,0.6103,11.0000,0.0988,0.2640
V2,F1_taker,43,79,0,risk1%,1.2817,158.8483,14.2696,1.7956,17.2790,22.1713,25.3165,0.2257,11.0000,0.2069,0.7806
V2,F1_taker,43,79,0,30%x10x,1.1101,158.8483,-50.3966,-8.9298,78.5932,83.6498,25.3165,0.6032,11.0000,0.0966,0.2645
V2,F1_taker,44,79,0,risk1%,1.2809,197.3289,14.8973,1.8700,17.3752,20.7296,25.3165,0.2267,11.0000,0.2217,0.7769
V2,F1_taker,44,79,0,30%x10x,1.1410,197.3289,-42.5578,-7.1296,79.2087,81.2457,25.3165,0.7494,11.0000,0.1218,0.3347
V2,F1_taker,45,79,0,risk1%,1.3155,287.5241,16.2457,2.0287,15.8073,20.7698,24.0506,0.2503,11.0000,0.2237,0.8734
V2,F1_taker,45,79,0,30%x10x,1.2104,287.5241,-29.2335,-4.5085,75.4717,80.4001,24.0506,1.0919,11.0000,0.1724,0.4986
V2,F1_taker,46,79,0,risk1%,1.4839,204.5379,26.2539,3.1591,16.8265,19.8475,25.3165,0.3889,11.0000,0.2681,1.3398
V2,F1_taker,46,79,0,30%x10x,1.1461,204.5379,-43.1982,-7.2684,74.3502,79.4423,25.3165,0.7767,11.0000,0.1236,0.3469
V2,F1_taker,47,79,0,risk1%,1.3981,360.4283,21.9619,2.6842,16.3540,19.2452,25.3165,0.3100,11.0000,0.2815,1.0888
V2,F1_taker,47,79,0,30%x10x,1.2775,360.4283,-10.3599,-1.4486,76.5189,79.5666,25.3165,1.3687,11.0000,0.2170,0.6535
V2,F1_taker,48,79,0,risk1%,1.2679,204.7937,13.6700,1.7242,17.4664,22.3107,24.0506,0.2188,11.0000,0.2011,0.7443
V2,F1_taker,48,79,0,30%x10x,1.1499,204.7937,-41.3715,-6.8759,73.0093,77.9601,24.0506,0.7777,11.0000,0.1259,0.3519
V2,F1_taker,49,79,0,risk1%,1.1952,209.4524,8.3246,1.0725,17.0919,21.6850,24.0506,0.1569,11.0000,0.1448,0.5412
V2,F1_taker,49,79,0,30%x10x,1.1568,209.4524,-39.1745,-6.4178,77.8495,79.6467,24.0506,0.7954,11.0000,0.1292,0.3793
V2,F1_taker,50,79,0,risk1%,1.2314,199.1187,10.7008,1.3656,17.1328,20.3120,24.0506,0.1901,11.0000,0.1666,0.6455
V2,F1_taker,50,79,0,30%x10x,1.1413,199.1187,-45.9826,-7.8881,74.7169,78.1373,24.0506,0.7561,11.0000,0.1192,0.3307
V2,F1_taker,51,79,0,risk1%,1.3087,198.7427,15.3898,1.9282,14.9437,19.9383,24.0506,0.2423,11.0000,0.2131,0.8512
V2,F1_taker,51,79,0,30%x10x,1.1486,198.7427,-41.5924,-6.9228,68.6058,75.5950,24.0506,0.7547,11.0000,0.1227,0.3438
V2,F1_taker,52,79,0,risk1%,1.4628,257.5392,26.0815,3.1403,17.0452,20.7989,24.0506,0.3669,11.0000,0.2949,1.2843
V2,F1_taker,52,79,0,30%x10x,1.1921,257.5392,-29.8379,-4.6178,73.0835,77.8583,24.0506,0.9780,11.0000,0.1589,0.4752
V2,F1_taker,53,79,0,risk1%,1.2008,260.2309,8.4705,1.0907,18.4690,22.1618,25.3165,0.1613,11.0000,0.1452,0.5528
V2,F1_taker,53,79,0,30%x10x,1.1925,260.2309,-33.1051,-5.2227,74.3022,78.7401,25.3165,0.9882,11.0000,0.1576,0.4482
V2,F1_taker,54,79,0,risk1%,1.2206,213.7478,10.3799,1.3263,17.1910,24.6836,24.0506,0.1772,11.0000,0.1702,0.6120
V2,F1_taker,54,79,0,30%x10x,1.1538,213.7478,-41.1619,-6.8316,76.5537,81.1466,24.0506,0.8117,11.0000,0.1302,0.3683
V2,F1_taker,55,79,0,risk1%,1.4160,244.9296,23.0221,2.8029,16.4849,20.5828,22.7848,0.3398,11.0000,0.2654,1.1621
V2,F1_taker,55,79,0,30%x10x,1.1858,244.9296,-32.0441,-5.0235,74.6044,78.5567,22.7848,0.9301,11.0000,0.1508,0.4598
V2,F1_taker,56,79,0,risk1%,1.5165,354.6587,28.8862,3.4435,14.6015,19.3978,25.3165,0.4053,11.0000,0.3007,1.4219
V2,F1_taker,56,79,0,30%x10x,1.2791,354.6587,-8.8743,-1.2322,75.1475,78.7108,25.3165,1.3468,11.0000,0.2152,0.6748
V2,F1_taker,57,79,0,risk1%,1.4117,256.1458,22.7976,2.7778,17.5292,22.3590,22.7848,0.3363,11.0000,0.2639,1.1504
V2,F1_taker,57,79,0,30%x10x,1.1879,256.1458,-36.4186,-5.8629,71.9351,75.1316,22.7848,0.9727,11.0000,0.1520,0.4475
V2,F1_taker,58,79,0,risk1%,1.2128,167.4337,9.6984,1.2426,15.5230,19.7245,24.0506,0.1721,11.0000,0.1600,0.5907
V2,F1_taker,58,79,0,30%x10x,1.1173,167.4337,-48.9343,-8.5761,77.4966,78.5647,24.0506,0.6358,11.0000,0.1018,0.2804
V2,F1_taker,59,79,0,risk1%,1.3150,293.2426,16.2161,2.0252,15.9309,19.8782,25.3165,0.2507,11.0000,0.2224,0.8718
V2,F1_taker,59,79,0,30%x10x,1.2152,293.2426,-25.2385,-3.8063,74.7898,78.6598,25.3165,1.1136,11.0000,0.1777,0.5372
V2,F1_taker,60,79,0,risk1%,1.2636,223.6546,12.4585,1.5788,18.0671,20.8533,24.0506,0.2093,11.0000,0.1841,0.7320
V2,F1_taker,60,79,0,30%x10x,1.1609,223.6546,-39.3431,-6.4524,78.9805,80.2761,24.0506,0.8493,11.0000,0.1361,0.3856
V2,F1_taker,61,79,0,risk1%,1.3749,244.3938,19.6713,2.4248,17.9075,22.9760,25.3165,0.3010,11.0000,0.2388,1.0363
V2,F1_taker,61,79,0,30%x10x,1.1868,244.3938,-32.4912,-5.1071,72.0613,79.3397,25.3165,0.9281,11.0000,0.1514,0.4322
V2,F1_taker,62,79,0,risk1%,1.4045,333.8291,20.9537,2.5706,16.5899,18.9539,24.0506,0.3217,11.0000,0.2417,1.1133
V2,F1_taker,62,79,0,30%x10x,1.2535,333.8291,-16.3708,-2.3570,74.8406,75.9022,24.0506,1.2677,11.0000,0.2009,0.6201
V2,F1_taker,63,79,0,risk1%,1.2066,267.8967,9.2952,1.1929,17.5184,21.8527,25.3165,0.1641,11.0000,0.1587,0.5704
V2,F1_taker,63,79,0,30%x10x,1.2014,267.8967,-29.6515,-4.5840,73.9622,77.4571,25.3165,1.0173,11.0000,0.1643,0.4776
V2,F1_taker,64,79,0,risk1%,1.2383,295.7041,10.9391,1.3946,16.7148,20.7465,25.3165,0.1841,11.0000,0.1757,0.6500
V2,F1_taker,64,79,0,30%x10x,1.2288,295.7041,-24.2488,-3.6374,74.1548,79.2831,25.3165,1.1229,11.0000,0.1800,0.5302
V2,F1_taker,65,79,0,risk1%,1.3702,305.4285,20.0889,2.4724,13.9458,18.8311,25.3165,0.2927,11.0000,0.2594,1.0174
V2,F1_taker,65,79,0,30%x10x,1.2225,305.4285,-27.2511,-4.1559,72.4175,79.2102,25.3165,1.1599,11.0000,0.1813,0.5189
V2,F1_taker,66,79,0,risk1%,1.2552,258.4222,12.1810,1.5453,16.5869,21.3599,25.3165,0.2031,11.0000,0.1843,0.7038
V2,F1_taker,66,79,0,30%x10x,1.1878,258.4222,-33.9045,-5.3746,76.4782,79.8269,25.3165,0.9814,11.0000,0.1560,0.4467
V2,F1_taker,67,79,0,risk1%,1.2360,260.1653,10.7431,1.3707,16.9158,20.0456,24.0506,0.1876,11.0000,0.1686,0.6498
V2,F1_taker,67,79,0,30%x10x,1.1965,260.1653,-32.8365,-5.1720,74.3080,77.5476,24.0506,0.9880,11.0000,0.1579,0.4460
V2,F1_taker,68,79,0,risk1%,1.4677,248.2249,27.2217,3.2643,16.5058,21.4065,24.0506,0.3786,11.0000,0.3032,1.3006
V2,F1_taker,68,79,0,30%x10x,1.1750,248.2249,-37.6227,-6.1027,80.6493,80.9890,24.0506,0.9426,11.0000,0.1477,0.4317
V2,F1_taker,69,79,0,risk1%,1.5856,169.4005,34.5588,4.0397,14.3018,21.6871,25.3165,0.4659,11.0000,0.3349,1.6187
V2,F1_taker,69,79,0,30%x10x,1.1201,169.4005,-49.6008,-8.7362,72.9891,78.6002,25.3165,0.6433,11.0000,0.1019,0.2832
V2,F1_taker,70,79,0,risk1%,1.3482,302.8593,18.6084,2.3030,15.9760,19.5301,25.3165,0.2785,11.0000,0.2427,0.9629
V2,F1_taker,70,79,0,30%x10x,1.2212,302.8593,-24.8127,-3.7334,77.9947,80.0567,25.3165,1.1501,11.0000,0.1822,0.5381
V2,F1_taker,71,79,0,risk1%,1.3473,387.1521,18.8370,2.3293,14.6847,19.1093,24.0506,0.2799,11.0000,0.2467,0.9630
V2,F1_taker,71,79,0,30%x10x,1.3025,387.1521,-1.3535,-0.1816,74.3810,79.1794,24.0506,1.4702,11.0000,0.2340,0.7348
V2,F1_taker,72,79,0,risk1%,1.3394,205.1329,17.4382,2.1677,17.6204,22.4444,25.3165,0.2716,11.0000,0.2254,0.9373
V2,F1_taker,72,79,0,30%x10x,1.1500,205.1329,-42.0985,-7.0308,78.7323,82.5302,25.3165,0.7790,11.0000,0.1250,0.3567
V2,F1_taker,73,79,0,risk1%,1.2495,204.8788,11.3956,1.4502,18.9174,22.1105,24.0506,0.2008,11.0000,0.1711,0.6917
V2,F1_taker,73,79,0,30%x10x,1.1495,204.8788,-41.5154,-6.9065,79.0236,81.2485,24.0506,0.7780,11.0000,0.1254,0.3591
V2,F1_taker,74,79,0,risk1%,1.6345,301.5970,36.9967,4.2892,13.9314,17.8406,24.0506,0.4988,11.0000,0.3349,1.7498
V2,F1_taker,74,79,0,30%x10x,1.2218,301.5970,-27.0037,-4.1125,75.9534,81.3302,24.0506,1.1453,11.0000,0.1790,0.5332
V2,F1_taker,75,79,0,risk1%,1.4682,357.6030,26.5465,3.1910,16.4983,22.1466,24.0506,0.3661,11.0000,0.3065,1.2833
V2,F1_taker,75,79,0,30%x10x,1.2667,357.6030,-13.1478,-1.8631,78.4416,83.3276,24.0506,1.3580,11.0000,0.2125,0.6616
V2,F1_taker,76,79,0,risk1%,1.2165,228.9796,10.4707,1.3374,17.5565,21.6575,25.3165,0.1718,11.0000,0.1777,0.5951
V2,F1_taker,76,79,0,30%x10x,1.1630,228.9796,-40.0618,-6.6010,79.0351,82.1239,25.3165,0.8695,11.0000,0.1384,0.3821
V2,F1_taker,77,79,0,risk1%,1.3127,258.4490,16.1014,2.0118,18.4188,21.0326,25.3165,0.2526,11.0000,0.2177,0.8672
V2,F1_taker,77,79,0,30%x10x,1.1820,258.4490,-36.3640,-5.8521,79.3626,81.5236,25.3165,0.9815,11.0000,0.1536,0.4414
V2,F1_taker,78,79,0,risk1%,1.4430,235.2719,22.7651,2.7742,16.3701,20.7681,24.0506,0.3529,11.0000,0.2444,1.2241
V2,F1_taker,78,79,0,30%x10x,1.1700,235.2719,-38.7636,-6.3337,78.2188,81.5482,24.0506,0.8934,11.0000,0.1412,0.4068
V2,F1_taker,79,79,0,risk1%,1.3451,294.9262,18.3084,2.2684,17.1085,21.8105,25.3165,0.2742,11.0000,0.2423,0.9497
V2,F1_taker,79,79,0,30%x10x,1.2215,294.9262,-26.6426,-4.0493,75.2338,78.5586,25.3165,1.1200,11.0000,0.1771,0.5272
V2,F1_taker,80,79,0,risk1%,1.2516,299.7551,12.4146,1.5735,17.8114,20.4169,25.3165,0.2002,11.0000,0.1927,0.6910
V2,F1_taker,80,79,0,30%x10x,1.2233,299.7551,-23.8590,-3.5714,75.9593,77.1294,25.3165,1.1383,11.0000,0.1821,0.5344
V2,F1_taker,81,79,0,risk1%,1.4384,428.7078,24.0919,2.9217,16.1791,20.8787,25.3165,0.3543,11.0000,0.2668,1.2119
V2,F1_taker,81,79,0,30%x10x,1.3423,428.7078,12.7779,1.6173,73.8442,79.1306,25.3165,1.6280,11.0000,0.2592,0.8461
V2,F1_taker,82,79,0,risk1%,1.3442,243.5291,18.3328,2.2712,16.6241,20.6322,24.0506,0.2814,11.0000,0.2344,0.9594
V2,F1_taker,82,79,0,30%x10x,1.1773,243.5291,-36.9474,-5.9677,74.1291,78.9732,24.0506,0.9248,11.0000,0.1463,0.4287
V2,F1_taker,83,79,0,risk1%,1.2139,171.8248,9.8115,1.2565,18.4484,21.0926,25.3165,0.1733,11.0000,0.1621,0.5930
V2,F1_taker,83,79,0,30%x10x,1.1193,171.8248,-49.6717,-8.7534,78.5429,82.2961,25.3165,0.6525,11.0000,0.1034,0.2863
V2,F1_taker,84,79,0,risk1%,1.4076,360.6879,22.7252,2.7697,16.6753,21.5546,24.0506,0.3265,11.0000,0.2749,1.1298
V2,F1_taker,84,79,0,30%x10x,1.2715,360.6879,-12.5255,-1.7696,75.2975,78.6390,24.0506,1.3697,11.0000,0.2142,0.6672
V2,F1_taker,85,79,0,risk1%,1.3857,361.0342,20.7694,2.5497,16.7414,21.6509,24.0506,0.3125,11.0000,0.2481,1.0716
V2,F1_taker,85,79,0,30%x10x,1.2732,361.0342,-11.5374,-1.6223,74.9857,79.8722,24.0506,1.3710,11.0000,0.2158,0.6558
V2,F1_taker,86,79,0,risk1%,1.2422,202.5878,10.9702,1.3984,18.4085,21.4581,24.0506,0.1917,11.0000,0.1702,0.6665
V2,F1_taker,86,79,0,30%x10x,1.1449,202.5878,-44.9625,-7.6579,80.1607,81.5554,24.0506,0.7693,11.0000,0.1214,0.3427
V2,F1_taker,87,79,0,risk1%,1.2689,250.3126,13.3316,1.6837,14.8166,19.1439,25.3165,0.2182,11.0000,0.1944,0.7445
V2,F1_taker,87,79,0,30%x10x,1.1826,250.3126,-35.2730,-5.6383,74.9290,76.7173,25.3165,0.9506,11.0000,0.1515,0.4302
V2,F1_taker,88,79,0,risk1%,1.3187,199.8368,16.4098,2.0479,15.4562,19.3929,25.3165,0.2575,11.0000,0.2194,0.8819
V2,F1_taker,88,79,0,30%x10x,1.1428,199.8368,-44.4446,-7.5425,74.5227,76.6978,25.3165,0.7589,11.0000,0.1207,0.3375
V2,F1_taker,89,79,0,risk1%,1.3981,258.5789,21.1333,2.5909,15.9620,18.9505,25.3165,0.3168,11.0000,0.2507,1.1001
V2,F1_taker,89,79,0,30%x10x,1.1844,258.5789,-36.8933,-5.9569,77.9634,81.1893,25.3165,0.9819,11.0000,0.1531,0.4348
V2,F1_taker,90,79,0,risk1%,1.3747,289.2087,20.0288,2.4656,15.2577,20.2553,24.0506,0.2975,11.0000,0.2524,1.0334
