version,candidate_id,entry_time,entry_px,year,r_6h,r_24h,r_3d,r_7d,r_14d,r_30d,base_mean_6h,base_mean_24h,base_mean_3d,base_mean_7d,base_mean_14d,base_mean_30d,excess_6h,excess_24h,excess_3d,excess_7d,excess_14d,excess_30d
V2,0.236-25,2020-09-02 00:35,11892.68,2020,-0.01139,-0.04022,-0.12013,-0.16176,-0.10384,-0.11429,0.00192,-0.01112,-0.02864,-0.06112,-0.02588,-0.02902,-0.01331,-0.02910,-0.09149,-0.10064,-0.07796,-0.08527
V2,0.236-26,2020-09-29 04:00,10720.04,2020,0.00079,0.00272,-0.00787,0.00486,0.06797,0.21310,0.00268,0.00079,-0.00129,0.00088,0.05725,0.21811,-0.00189,0.00193,-0.00658,0.00398,0.01073,-0.00500
V2,0.236-27,2020-10-28 07:10,13625.59,2020,-0.02295,-0.02705,-0.00248,0.01223,0.12202,0.23193,0.00288,0.00456,0.01289,0.06669,0.15671,0.33689,-0.02583,-0.03161,-0.01537,-0.05447,-0.03469,-0.10495
V2,0.236-28,2020-11-08 00:00,14804.88,2020,0.01528,0.04571,0.03165,0.08176,0.23283,0.25719,0.00130,0.01334,0.02784,0.08839,0.17622,0.20081,0.01398,0.03236,0.00381,-0.00663,0.05661,0.05638
V2,0.236-29,2020-12-04 10:05,19275.80,2020,-0.01565,-0.00741,-0.00515,-0.08155,0.17806,0.57343,-0.00099,-0.00290,-0.01492,-0.01940,0.14078,0.51503,-0.01466,-0.00451,0.00977,-0.06214,0.03728,0.05840
V2,0.236-30,2020-12-29 05:10,26169.16,2020,0.02374,0.06617,0.10707,0.17150,0.30095,0.17583,0.01171,0.02973,0.08622,0.20142,0.35982,0.22353,0.01203,0.03643,0.02085,-0.02992,-0.05887,-0.04770
V2,0.236-31,2020-12-31 12:55,28480.64,2020,0.01366,0.02609,0.18018,0.28682,0.29513,0.16981,0.01235,0.02214,0.07682,0.20767,0.23282,0.14800,0.00130,0.00395,0.10336,0.07914,0.06230,0.02181
V2,0.236-32,2021-01-09 05:55,39318.10,2021,0.03124,0.02843,-0.09143,-0.09222,-0.16461,-0.01643,0.00845,0.01494,0.05721,0.01702,-0.04694,0.15789,0.02279,0.01349,-0.14864,-0.10924,-0.11767,-0.17432
V2,0.236-33,2021-01-15 04:15,38362.89,2021,0.00399,-0.05424,-0.08917,-0.20690,-0.14532,0.21038,-0.00191,-0.00325,-0.02183,-0.04013,-0.09200,0.29523,0.00590,-0.05099,-0.06734,-0.16676,-0.05332,-0.08484
V2,0.236-34,2021-01-26 04:00,32375.92,2021,-0.00960,-0.02364,0.04296,0.03508,0.35987,0.43542,-0.00410,-0.00912,0.01515,0.10254,0.27599,0.40183,-0.00550,-0.01452,0.02781,-0.06745,0.08388,0.03360
V2,0.236-35,2021-02-09 16:15,46258.00,2021,0.01002,-0.03426,0.02484,0.05396,0.03675,0.20248,0.00440,0.02887,0.05010,0.14143,0.08711,0.23344,0.00562,-0.06313,-0.02526,-0.08747,-0.05035,-0.03095
V2,0.236-36,2021-02-11 00:10,44536.67,2021,0.00484,0.08439,0.06537,0.16283,0.10677,0.24047,0.00119,0.02700,0.08063,0.15274,0.13128,0.23569,0.00364,0.05740,-0.01526,0.01009,-0.02451,0.00478
V2,0.236-37,2021-02-13 08:00,46740.34,2021,0.00314,0.04203,0.05323,0.17076,0.01041,0.21640,0.00374,0.00844,0.04554,0.07992,0.02402,0.19141,-0.00061,0.03359,0.00770,0.09084,-0.01361,0.02499
V2,0.236-38,2021-02-18 07:25,51367.58,2021,0.00500,0.00684,0.08560,-0.01733,-0.03354,0.12822,0.00331,-0.00274,0.02853,0.01170,-0.04041,0.11304,0.00169,0.00958,0.05706,-0.02903,0.00687,0.01518
V2,0.236-39,2021-03-06 12:10,47632.56,2021,0.01280,0.06347,0.12708,0.22944,0.21582,0.19669,-0.00035,0.00095,0.04370,0.10358,0.11506,0.13635,0.01315,0.06252,0.08338,0.12586,0.10076,0.06034
V2,0.236-40,2021-03-16 00:00,55662.53,2021,-0.02538,0.02387,0.03565,-0.02920,0.03472,0.12700,0.00696,0.02188,0.00118,-0.02023,-0.00395,0.06714,-0.03234,0.00199,0.03447,-0.00897,0.03867,0.05986
V2,0.236-41,2021-03-20 20:20,58343.68,2021,-0.00619,-0.00698,-0.06045,-0.04356,-0.00188,-0.04067,0.00494,0.00099,-0.00555,-0.00904,0.04009,0.00276,-0.01113,-0.00796,-0.05490,-0.03452,-0.04197,-0.04343
V2,0.236-42,2021-04-20 00:20,55075.58,2021,-0.00503,0.02901,-0.05804,-0.02561,0.03018,-0.38563,0.00025,-0.02407,-0.06492,-0.09219,-0.01504,-0.30081,-0.00528,0.05308,0.00688,0.06658,0.04521,-0.08483
V2,0.236-43,2021-05-01 15:25,57036.60,2021,0.00978,-0.00760,-0.05023,0.02825,-0.14672,-0.43386,0.00197,0.00153,0.02052,0.01828,-0.14837,-0.40771,0.00781,-0.00912,-0.07075,0.00997,0.00166,-0.02615
V2,0.236-44,2021-05-03 13:50,57276.03,2021,0.00110,-0.03083,0.00301,0.00493,-0.24537,-0.42306,-0.00227,0.00885,0.02386,0.00772,-0.18134,-0.42309,0.00337,-0.03968,-0.02085,-0.00279,-0.06402,0.00003
